output_feature,source_feature,source_table,table_index,table_alias,source_feature_count,is_duplicate_source_name,is_output_renamed,rename_reason
max_ctn_ovd_day,max_ctn_ovd_day,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_final_12his_continue_ovd_days_df_feature,1,t2,1,False,False,
not_ovd_tqhk_rep_tim_cnt_12m,not_ovd_tqhk_rep_tim_cnt_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_final_2tqhk_reptim_360d_con_feature_feature,2,t3,1,False,False,
ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_final_2tqhk_reptim_360d_con_feature_feature,2,t3,1,False,False,
ddf_mdl_max_con_not_ovd_tqhk_rep_tim_12m,ddf_mdl_max_con_not_ovd_tqhk_rep_tim_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_final_2tqhk_reptim_360d_con_feature_feature,2,t3,1,False,False,
max_con_not_ovd_tqhk_rep_tim_cnt_5m,max_con_not_ovd_tqhk_rep_tim_cnt_5m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_final_2tqhk_reptim_360d_con_feature_feature,2,t3,1,False,False,
max_con_not_ovd_tqhk_rep_tim_cnt_12m,max_con_not_ovd_tqhk_rep_tim_cnt_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_final_2tqhk_reptim_360d_con_feature_feature,2,t3,1,False,False,
not_ovd_tqhk_rep_tim_cnt_3m,not_ovd_tqhk_rep_tim_cnt_3m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_final_2tqhk_reptim_360d_con_feature_feature,2,t3,1,False,False,
lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
d30_d60_his_rep_amt_sum_rat_btch,d30_d60_his_rep_amt_sum_rat_btch,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
d90_d360_his_rep_amt_sum_rat_btch,d90_d360_his_rep_amt_sum_rat_btch,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
lag_his_rep_amt_sum_per_mth_all_rat_max,lag_his_rep_amt_sum_per_mth_all_rat_max,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
lag_his_rep_amt_sum_per_mth_btch_rat_max,lag_his_rep_amt_sum_per_mth_btch_rat_max,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
m6_up_flg_btch_cnt_rat,m6_up_flg_btch_cnt_rat,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
d30_d180_his_rep_amt_sum_rat_all,d30_d180_his_rep_amt_sum_rat_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
d30_his_rep_amt_sum_btch,d30_his_rep_amt_sum_btch,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
d180_d360_his_rep_amt_sum_rat_all,d180_d360_his_rep_amt_sum_rat_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_12his_rep_pressure_trend_df_feature,3,t4,1,False,False,
min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
min_rsk_avl_lmt_bjq_12m_all,min_rsk_avl_lmt_bjq_12m_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
max_rsk_lmt_rate_bjq_12m_all,max_rsk_lmt_rate_bjq_12m_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
min_rsk_lmt_rate_bjq_12m_all,min_rsk_lmt_rate_bjq_12m_all,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,ads_app_off_feature.ds29531_backtrack_fj_gcard_model_v6_1_dwa_risk_dz_model_account_lmt_feature_sample_all_final_jqh_df_feature,4,t5,1,False,False,
