feature,gain,split
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,1350924.1663565636,181
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,630362.0792856216,242
cnt_other_info_cash_uid_recent_days_360,404074.73135757446,499
unpaid_principal_future_light_add_heavy,361682.2944135666,288
ord_apl_sum_prc_amt_90_day,314946.777674675,114
d360_apl_ord_ddf_mdl_ord_crt_dte_min,217749.08388137817,812
d90_d180_apl_ord_cnt_rat,197427.99174261093,67
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,171437.72819328308,1068
d90_apl_ord_prc_amt_per_stg_max,158393.97718191147,99
median_amt_event_type_loan_recent_180,128394.87448644638,226
d60_apl_ord_ddf_mdl_ord_crt_dte_max,104169.32832241058,261
cnt_event_result_1_uid_recent_days_120,103714.40720367432,201
mdt_lst_60d_180d_ord_cnt_typ_btch_rte,100329.42624759674,71
d90_max_due_prc_amt_divide_d90_max_faqi_prc_amt,96504.03357028961,177
d60_apl_ord_prc_amt_max,87264.67046546936,124
cnt_event_type_loan_uid_recent_days_30,74498.63146686554,120
d90_apl_ord_prc_amt_avg,74432.45340776443,121
dau_90d,61019.18520307541,696
dvc_cnt_cjj_30,48894.53051567078,197
d360_apl_ord_stg_num_sum_all,45276.03313589096,198
cnt_avg_ord_span_30d,44928.60888957977,216
his_90_day_csh_apl_ord_cnt_his_rto,42727.11848306656,83
ord_apl_sum_prc_amt_360_day,42586.46389055252,119
max_amt_event_type_repay_recent_60,38948.46508026123,133
ddf_mdl_max_dau_dt_90d,36893.77052736282,770
d30_apl_ord_days_cnt_all,36671.96794509888,227
median_amt_event_result_1_event_type_repay_recent_30,25765.898126125336,163
tot_pending_repay_tot_fee_stddev,24774.19388771057,177
cnt_ord_cnt_typ_btch_30d_90d,24154.440140724182,96
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,23238.20918083191,331
cnt_avg_ord_span_30d_90d,22995.25702047348,258
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,22209.9868850708,200
min_amt_event_type_repay_recent_180,21288.8437128067,193
cnt_ord_cnt_typ_btch_30d,20825.050117492676,180
rsk_avl_lmt_ch_les_1000_cnt_3m,20303.172715187073,202
clk_cnt_14d,17626.94963979721,409
12ord_apply_amt_second_der_stddev,15271.158909797668,110
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,14086.086414813995,408
d180_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,13239.767594337463,102
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,10996.95907497406,123
d180_due_repay_amt_avg_divide_d180_faqi_trade_amt_avg,10338.743725776672,184
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,9955.02516746521,119
max_avl_lmt_lft_rep_prc_1m_cash_3m,9942.746818065643,362
sum_avb_lmt_2m_v2,8561.598846435547,237
avg_avb_lmt_2m_v2,7650.286349773407,257
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,7069.310483455658,270
max_ddf_lag_crt_dte,6778.48975610733,375
max_ddf_mdl_rep_dte_ftr,6748.067519187927,310
max_con_dau_7d,6564.190861225128,165
first_amt_event_type_credit_all,6545.2001276016235,405
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,6393.841735839844,149
d90_aplord_suc_month_cnt,6170.643108844757,68
stg_pln_cnt_3m_ftr_adv_rto,6158.456290245056,208
ddf_ato_fst_ord_crt_dte,5999.920672416687,382
ord_apl_fal_cnt_90_day,5972.749251365662,54
min_ddf_lag_crt_tim_mnt,5917.319532871246,336
ddf_fst_adt_fst_ord_crt_dte_mnt,5904.642130851746,413
d30_suc_ord_prc_amt_avg_all,5897.730965137482,178
d360_suc_ord_ddf_mdl_ord_crt_dte_min,5705.687599658966,245
d60_d90_apl_ord_cnt_rat_all,5678.182276248932,70
his_3d_app_str_ctn_v2,5639.929226875305,226
credit_reject_cnt_24m,5597.180380821228,248
max_rsk_avl_lmt_24m_bt_ch,5452.01978969574,237
per_event_type_limit_all,5401.887858390808,350
rsk_avl_lmt_ch_1m_les_500_cnt_3m,5343.051901817322,152
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,5216.2801694869995,128
d60_apl_ord_prc_amt_avg,5002.105508804321,124
rsk_avl_lmt_ch_1m_les_5000_cnt_3m,4970.850979804993,95
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,4876.398004055023,117
ord_apl_fal_cnt_his,4816.596241474152,242
d360_apl_ord_stg_num_min_all,4807.586735725403,45
m1_rep_apl_suc_stg_pln_cnt_avg,4703.23646402359,114
ord_apl_min_prc_amt_his,4701.397964477539,239
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,4692.7314167022705,270
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,4669.262804031372,231
credit_unique_scene_cnt_all,4633.717531204224,209
min_amt_event_type_credit_event_result_1,4625.6116099357605,258
min_rsk_avl_lmt_12m_bt_ch,4591.548740386963,177
his_trade_fail_count_mon_divide_his_trade_success_count_mon,4567.279155731201,283
18m_repay_ftr_amt_first_der_mean_diff,4488.030897140503,251
d360_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,4485.704921245575,77
d30_apl_ord_ddf_mdl_ord_crt_dte_min,4391.348059654236,145
max_amt_other_info_manual_repay,4378.854873657227,233
rsk_lmt_rate_ch_1m_grt_0p8_cnt_1m,4370.83535861969,93
his_light_limit_divide_btch_avl_limit,4321.430995941162,263
af_q4_q3_trend,4280.180791854858,182
rsk_lmt_rate_ch_1m_grt_0p9_rate_12m,4277.669147491455,214
rsk_avl_lmt_ch_1m_les_1000_cnt_24m,4264.152886867523,171
div_amt_event_type_repay_loan,4261.599419593811,287
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,4198.3909549713135,231
rsk_lmt_rate_ch_1m_grt_0p2_cnt_24m,4189.022409915924,142
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,4055.1035509109497,217
stg_pln_max_prc_amt_12m_ftr_his_rep_rto_cash,4029.6676716804504,235
succloan_stage_num_mean_all,4020.1900477409363,229
stddev_day_diff_event_type_repay_all,3999.846933364868,228
last_amt_channel_hb_microcredit_lv1_all,3970.530734062195,292
cnt_ord_cnt_suc_30d_90d,3905.5274057388306,60
af_3m_inter_1m_sum_up,3888.220012664795,123
6m_used_lmt_first_der_min,3875.6269178390503,191
3stg_pln_repay_amt_first_der_mean_diff,3861.9849882125854,278
d1095_aplord_fal_month_cnt,3860.8450241088867,154
12m_used_lmt_second_der_sum,3826.646806716919,269
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,3826.4083375930786,174
rsk_avl_lmt_ch_1m_les_1000_rate_24m,3762.327974796295,225
d1080_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,3671.5888056755066,259
3m_repay_amt_first_der_median,3622.583513736725,188
6m_used_lmt_second_der_sum,3589.7730884552,257
cnt_event_type_limit_type_heavy_all,3569.5398597717285,252
min_ddf_mdl_rep_tim_his,3501.1947617530823,194
3m_used_lmt_second_der_sum,3423.8860263824463,205
min_ddf_suc_lag_crt_tim_mnt,3422.1493792533875,235
12m_used_lmt_second_der_mean_diff,3420.4239373207092,241
avg_avl_lmt_lft_rep_prc_all_cash_24m,3413.6523399353027,200
d30_d90_suc_ord_prc_amt_avg_rat_all,3409.885612487793,122
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,3403.5118341445923,173
6m_used_lmt_first_der_max,3381.914098739624,186
rsk_lmt_rate_ch_1m_grt_0p5_rate_24m,3378.0499863624573,192
12m_used_lmt_first_der_sum,3373.541609764099,212
m3_manual_rep_apl_suc_stg_pln_cnt_avg,3324.9422464370728,187
stg_pln_sum_prc_amt_1m_ftr_his_rep_rto_all,3300.1852860450745,187
rsk_lmt_rate_ch_1m_grt_0p95_rate_36m,3266.1191720962524,199
ddf_mdl_max_con_dau_dt_90d,3261.6911931037903,221
fst_fal_ord_prc_amt,3233.123038291931,231
3m_used_lmt_second_der_stddev,3216.500082015991,163
rsk_avl_lmt_ch_1m_les_1000_rate_6m,3205.9174704551697,177
18m_used_lmt_first_der_sum,3139.317300796509,236
d90_aplord_fal_month_cnt,3115.095034599304,50
median_amt_channel_hb_microcredit_lv1_all,3113.5525183677673,221
3m_used_lmt_first_der_mean_diff,3049.725697040558,210
12m_used_lmt_first_der_min,3025.8377656936646,204
m1_manual_rep_apl_stg_pln_cnt_avg,3017.6000814437866,142
pst_ord_apl_suc_sum_prc_amt_90_180_day_rto,3003.295811653137,72
max_avl_lmt_lft_rep_prc_1m_cash_36m,3003.0957403182983,205
6stg_pln_repay_amt_first_der_mean_diff,3000.123754501343,236
af_1y_inter_3m_sum_up,2998.170741558075,128
18m_used_lmt_second_der_sum,2981.1196660995483,214
ord_apl_cnt_07_12,2978.4784622192383,162
his_max_faqi_prc_amt_divide_unpaid_principal_tot,2955.408288002014,152
rsk_lmt_rate_ch_1m_grt_0p95_rate_3m,2940.8566160202026,136
stg_pln_min_prc_amt_his,2935.97274017334,184
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,2935.6969089508057,216
3m_used_lmt_first_der_sum,2935.6922731399536,180
rsk_avl_lmt_ch_les_1000_rate_12m,2933.636782646179,159
stg_pln_sum_rep_prc_1m_3m_rto_his,2929.6430864334106,164
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,2918.9126625061035,183
d30_d360_suc_ord_cnt_rat,2909.399726867676,60
