feature,rank,gain,split_importance,bin_order,bin_label,lower_bound,upper_bound,is_missing_bin,split_value,good,bad,total,bad_rate,pop_pct,woe,iv_component,status,skip_reason
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,0,Missing,,,True,DEV,204820,1933,206753,0.009349320203334413,0.5663674390701573,-2.9491067835885505,1.8504768573049781,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,1,"(-inf, 8]",-inf,8.0,False,DEV,4722,12055,16777,0.7185432437265303,0.04595796203818096,2.65087803710362,0.5328679719414108,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,2,"(8, 18]",8.0,18.0,False,DEV,5567,10374,15941,0.6507747318235996,0.043667871064590975,2.336100122193385,0.3927585314084507,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,3,"(18, 31]",18.0,31.0,False,DEV,6452,8865,15317,0.578768688385454,0.04195852086420802,2.031395057062676,0.28072309831498077,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,4,"(31, 47]",31.0,47.0,False,DEV,9240,6515,15755,0.41351951761345607,0.0431583532163999,1.3642833270175514,0.11871805027701389,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,5,"(47, 70]",47.0,70.0,False,DEV,10669,5184,15853,0.32700435248848797,0.04342680885684466,0.991979571315055,0.05805055299202334,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,6,"(70, 103]",70.0,103.0,False,DEV,11940,3804,15744,0.24161585365853658,0.04312822044043161,0.569943963658262,0.01690049218843354,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,7,"(103, 148]",103.0,148.0,False,DEV,12744,2822,15566,0.18129256070923808,0.04264061733839929,0.20621858121256997,0.0019458794792688286,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,8,"(148, 206]",148.0,206.0,False,DEV,13706,2012,15718,0.12800610764728337,0.043056997515415654,-0.2047970724028151,0.0016805449206449758,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,9,"(206, 277]",206.0,277.0,False,DEV,14518,1309,15827,0.08270676691729323,0.043355585931828707,-0.6920829431510845,0.01622466366629385,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,10,"(277, inf]",277.0,inf,False,DEV,14939,861,15800,0.05449367088607595,0.0432816236635429,-1.1393935647982412,0.03741957960012511,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,0,Missing,,,True,OOT,73711,646,74357,0.008687816883413801,0.6110814342419935,-2.8270401477524048,1.8497780572094134,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,1,"(-inf, 8]",-inf,8.0,False,OOT,1206,2977,4183,0.7116901745158977,0.03437677205151174,2.8126611741966774,0.5012154948667001,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,2,"(8, 18]",8.0,18.0,False,OOT,1524,2786,4310,0.6464037122969838,0.03542048471002046,2.5124205986135904,0.4096200669217412,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,3,"(18, 31]",18.0,31.0,False,OOT,2054,2558,4612,0.5546400693842151,0.03790238410269475,2.1286893979539907,0.30550986565689436,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,4,"(31, 47]",31.0,47.0,False,OOT,3122,2052,5174,0.396598376497874,0.042521018071843594,1.4897253573591593,0.15079804935156815,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,5,"(47, 70]",47.0,70.0,False,OOT,3537,1577,5114,0.30836918263590146,0.04202792547727254,1.101721810496184,0.07388766487768805,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,6,"(70, 103]",70.0,103.0,False,OOT,4077,1164,5241,0.2220950200343446,0.043071638135781264,0.6561085128615355,0.023406093136020205,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,7,"(103, 148]",103.0,148.0,False,OOT,4181,756,4937,0.15312943082843833,0.040573302323287944,0.19957797843913877,0.0017392624865818931,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,8,"(148, 206]",148.0,206.0,False,OOT,3964,529,4493,0.11773870465168039,0.036924417123462165,-0.10390109963868387,0.0003835408750026417,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,9,"(206, 277]",206.0,277.0,False,OOT,4140,355,4495,0.07897664071190211,0.0369408535432812,-0.5457458251981505,0.00896710253954916,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,10,"(277, inf]",277.0,inf,False,OOT,4465,300,4765,0.06295907660020986,0.03915977021885093,-0.7893879571163698,0.01815537032707421,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,0,Missing,,,True,DEV-OOS,194546,2017,196563,0.010261341147621882,0.5387900433909046,-3.0045713533600065,1.8414091823448289,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,1,"(-inf, 8]",-inf,8.0,False,DEV-OOS,4974,13675,18649,0.733283285967076,0.051117939384304166,2.575521782176543,0.5154511968869273,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,2,"(8, 18]",8.0,18.0,False,DEV-OOS,5690,11856,17546,0.6757095634332612,0.04809455544195405,2.29831885717711,0.3882967098813233,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,3,"(18, 31]",18.0,31.0,False,DEV-OOS,7222,10253,17475,0.5867238912732475,0.04789994051910104,1.9146586918683242,0.26513899843763816,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,4,"(31, 47]",31.0,47.0,False,DEV-OOS,10394,7654,18048,0.4240913120567376,0.049470565178182296,1.2582576245978572,0.10921190778847452,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,5,"(47, 70]",47.0,70.0,False,DEV-OOS,11612,5853,17465,0.33512739765244776,0.04787252996658654,0.8791984033105232,0.0476796843651121,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,6,"(70, 103]",70.0,103.0,False,DEV-OOS,12430,4309,16739,0.25742278511261124,0.045882523854033325,0.5049094926431371,0.013664018478690662,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,7,"(103, 148]",103.0,148.0,False,DEV-OOS,12881,3092,15973,0.19357666061478745,0.043782875531422086,0.13742838627475515,0.0008644161816441549,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,8,"(148, 206]",148.0,206.0,False,DEV-OOS,13553,2057,15610,0.13177450352338244,0.04278787247514548,-0.3209124284723892,0.00395749989932802,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,9,"(206, 277]",206.0,277.0,False,DEV-OOS,14038,1361,15399,0.08838236249107084,0.04220950981708938,-0.7689757876387164,0.019196976805291782,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,10,"(277, inf]",277.0,inf,False,DEV-OOS,14358,998,15356,0.06499088304245898,0.042091644441277005,-1.1016024929529489,0.035003400449281234,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,0,Missing,,,True,OOT-OOS,69826,614,70440,0.008716638273708121,0.5766208251473477,-2.9479689881780313,1.864433569744165,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,1,"(-inf, 8]",-inf,8.0,False,OOT-OOS,1344,3184,4528,0.7031802120141343,0.03706614276358874,2.6472640497781383,0.4462089982831964,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,2,"(8, 18]",8.0,18.0,False,OOT-OOS,1721,3027,4748,0.6375315922493682,0.038867059593975115,2.349532148324306,0.3665447822712452,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,3,"(18, 31]",18.0,31.0,False,OOT-OOS,2272,2858,5130,0.5571150097465887,0.04199410609037328,2.014407420328029,0.28426017266030934,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,4,"(31, 47]",31.0,47.0,False,OOT-OOS,3704,2503,6207,0.4032543902046077,0.05081041257367387,1.393132411588925,0.1493475852129883,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,5,"(47, 70]",47.0,70.0,False,OOT-OOS,4241,1903,6144,0.3097330729166667,0.05029469548133595,0.9837682722503996,0.06678843843422608,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,6,"(70, 103]",70.0,103.0,False,OOT-OOS,4488,1389,5877,0.2363450740173558,0.0481090373280943,0.6124163556614524,0.0221995854630733,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,7,"(103, 148]",103.0,148.0,False,OOT-OOS,4673,921,5594,0.16464068644976762,0.045792403405370004,0.1613301981628769,0.0012617597883698365,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,8,"(148, 206]",148.0,206.0,False,OOT-OOS,4113,530,4643,0.11415033383588197,0.03800753110674525,-0.2632186128793102,0.00239519196098252,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,9,"(206, 277]",206.0,277.0,False,OOT-OOS,4127,349,4476,0.07797140303842717,0.03664047151277014,-0.683932658444781,0.013366915663690391,ok,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1,475538.83120093495,775,10,"(277, inf]",277.0,inf,False,OOT-OOS,4102,271,4373,0.06197118682826435,0.03579731499672561,-0.9303987279146186,0.022095607343373853,ok,
unpaid_principal_future_light_add_heavy,2,397507.3531263396,582,0,"(-inf, 774.01]",-inf,774.010009765625,False,DEV,248556,6981,255537,0.027318940114347434,0.7000035611462508,-1.8586595413685412,1.2607292260512024,ok,
unpaid_principal_future_light_add_heavy,2,397507.3531263396,582,1,"(774.01, 5012.84]",774.010009765625,5012.83984375,False,DEV,24388,12116,36504,0.3319088319088319,0.09999698672240317,1.0142032994468704,0.14051292520452005,ok,
unpaid_principal_future_light_add_heavy,2,397507.3531263396,582,2,"(5012.84, 15665.8]",5012.83984375,15665.7802734375,False,DEV,19634,16871,36505,0.462155869059033,0.09999972606567302,1.5620844339747226,0.373693206519702,ok,
unpaid_principal_future_light_add_heavy,2,397507.3531263396,582,3,"(15665.8, inf]",15665.7802734375,inf,False,DEV,16739,19766,36505,0.5414600739624709,0.09999972606567302,1.8799642386696418,0.5649815959739937,ok,
