model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v2,1,20443,3,0.00014674949860587976
1,gcard_v2,2,10780,1,9.276437847866419e-05
1,gcard_v2,3,7043,10,0.0014198494959534289
1,gcard_v2,4,5303,12,0.0022628700735432775
1,gcard_v2,5,3695,24,0.006495263870094722
1,gcard_v2,6,1499,9,0.00600400266844563
1,gcard_v2,7,195,2,0.010256410256410256
2,gcard_v2,1,13411,13,0.000969353515770636
2,gcard_v2,2,11074,14,0.0012642225031605564
2,gcard_v2,3,9189,13,0.0014147350092501905
2,gcard_v2,4,6972,20,0.002868617326448652
2,gcard_v2,5,4911,22,0.004479739360619018
2,gcard_v2,6,2831,29,0.010243730130695867
2,gcard_v2,7,568,10,0.017605633802816902
2,gcard_v2,8,2,0,0.0
3,gcard_v2,1,9107,11,0.0012078620841111233
3,gcard_v2,2,10949,15,0.001369988126769568
3,gcard_v2,3,10095,20,0.001981178801386825
3,gcard_v2,4,8052,26,0.003229011425732737
3,gcard_v2,5,5961,29,0.00486495554437175
3,gcard_v2,6,3926,62,0.015792154865002548
3,gcard_v2,7,859,17,0.01979045401629802
3,gcard_v2,8,9,0,0.0
4,gcard_v2,1,4213,10,0.0023736055067647755
4,gcard_v2,2,9731,27,0.0027746377556263488
4,gcard_v2,3,10900,26,0.0023853211009174312
4,gcard_v2,4,10012,40,0.003995205753096284
4,gcard_v2,5,7629,68,0.008913356927513435
4,gcard_v2,6,5004,84,0.016786570743405275
4,gcard_v2,7,1429,34,0.023792862141357594
4,gcard_v2,8,38,0,0.0
4,gcard_v2,9,1,0,0.0
5,gcard_v2,1,1661,8,0.00481637567730283
5,gcard_v2,2,5565,28,0.005031446540880503
5,gcard_v2,3,9076,53,0.0058395769061260466
5,gcard_v2,4,11256,85,0.007551528073916134
5,gcard_v2,5,10804,123,0.011384672343576454
5,gcard_v2,6,7748,130,0.016778523489932886
5,gcard_v2,7,2681,68,0.02536367027228646
5,gcard_v2,8,167,1,0.005988023952095809
6,gcard_v2,1,123,2,0.016260162601626018
6,gcard_v2,2,852,12,0.014084507042253521
6,gcard_v2,3,2611,46,0.017617770968977403
6,gcard_v2,4,6915,126,0.01822125813449024
6,gcard_v2,5,13363,284,0.02125271271421088
6,gcard_v2,6,15327,481,0.031382527565733676
6,gcard_v2,7,8135,317,0.03896742470805163
6,gcard_v2,8,1577,65,0.04121750158528852
6,gcard_v2,9,55,3,0.05454545454545454
7,gcard_v2,2,7,0,0.0
7,gcard_v2,3,34,1,0.029411764705882353
7,gcard_v2,4,433,21,0.04849884526558892
7,gcard_v2,5,2481,132,0.053204353083434096
7,gcard_v2,6,11671,794,0.0680318738754177
7,gcard_v2,7,23423,1942,0.08290996029543611
7,gcard_v2,8,9792,999,0.10202205882352941
7,gcard_v2,9,1075,125,0.11627906976744186
7,gcard_v2,10,41,7,0.17073170731707318
8,gcard_v2,3,10,0,0.0
8,gcard_v2,4,14,0,0.0
8,gcard_v2,5,112,18,0.16071428571428573
8,gcard_v2,6,887,166,0.1871476888387824
8,gcard_v2,7,11044,2114,0.191416153567548
8,gcard_v2,8,27453,5729,0.2086839325392489
8,gcard_v2,9,9032,2036,0.2254207263064659
8,gcard_v2,10,406,107,0.26354679802955666
9,gcard_v2,5,2,0,0.0
9,gcard_v2,6,59,22,0.3728813559322034
9,gcard_v2,7,592,196,0.3310810810810811
9,gcard_v2,8,9539,3852,0.40381591361777963
9,gcard_v2,9,29802,13125,0.44040668411516004
9,gcard_v2,10,8964,4194,0.4678714859437751
10,gcard_v2,6,6,3,0.5
10,gcard_v2,7,32,20,0.625
10,gcard_v2,8,380,258,0.6789473684210526
10,gcard_v2,9,8993,6378,0.7092182808851328
10,gcard_v2,10,39547,31956,0.8080511796090728
