decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48958,0.1000004085150885,47,0.0009600065362147147,47,0.0009600065362147147,0.006129503638422071,76631,0.1739162997594299,1.110430556399778
2,48958,0.1000004085150885,97,0.001981290085379305,144,0.0014706483107970096,0.009389877914178491,76534,0.1954082857157447,1.2476537951451898
3,48958,0.1000004085150885,169,0.0034519383961763143,313,0.002131078339256778,0.013606628644156796,76365,0.2228307810822167,1.4227424833807545
4,48957,0.09999836593964598,330,0.006740609105950119,643,0.003283443377197686,0.020964313645657016,76035,0.25884519671690265,1.6526893465957349
5,48958,0.1000004085150885,700,0.014297969688304261,1343,0.005486357638619382,0.03502960431936148,75335,0.3077548419250865,1.9649703956806386
6,48958,0.1000004085150885,1780,0.03635769435025941,3123,0.01063159793972364,0.06788122350783823,73555,0.3756044752873651,2.398180544644326
7,48958,0.1000004085150885,4720,0.0964091670411373,7843,0.022885572139303482,0.14612108605879026,68835,0.4686702116794782,2.992391884159936
8,48957,0.09999836593964598,10904,0.22272606573115183,18747,0.04786525116043936,0.305612743324364,57931,0.5916397728665387,3.7775348433769045
9,48958,0.1000004085150885,21667,0.4425630131949835,40414,0.09172075711497435,0.5856238403040626,36264,0.7407165325380939,4.729368509441234
10,48958,0.1000004085150885,36264,0.7407165325380939,76678,0.15662059978185294,1.0,0,0.0,0.0
