decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16239,0.10000492665443214,1444,0.08892173163372129,1444,0.08892173163372129,0.20974838578967372,67397,0.46117159220763226,1.087810541477604
2,16238,0.09999876833639196,2344,0.14435275280206922,3788,0.11663638882901746,0.27512165847145614,65053,0.5007736422770486,1.1812237704308726
3,16238,0.09999876833639196,3261,0.20082522478137702,7049,0.14469875808272606,0.3413151135949394,61792,0.543623039228624,1.282296834096286
4,16238,0.09999876833639196,4328,0.2665352875969947,11377,0.17515742152017613,0.4131609421898177,57464,0.5898038571677837,1.391228046289552
5,16238,0.09999876833639196,5656,0.3483187584677916,17033,0.20978926235666515,0.49485045249197424,51808,0.6381002820509662,1.5051495475080257
6,16238,0.09999876833639196,7065,0.43509052839019585,24098,0.24733908795122603,0.5834228988494644,44743,0.6888519390944221,1.6248624449678308
7,16238,0.09999876833639196,8592,0.5291292031038305,32690,0.2875944645323621,0.6783771929474298,36151,0.7420917581853639,1.7504444136147899
8,16238,0.09999876833639196,10113,0.6227983741840128,42803,0.3294946306916593,0.7772112130993597,26038,0.8017366136034733,1.8911345679196871
9,16238,0.09999876833639196,11883,0.7318019460524695,54686,0.3741951376391616,0.882650670968207,14155,0.8716669745673995,2.056086150175091
10,16239,0.10000492665443214,14155,0.8716669745673995,68841,0.4239447722038157,1.0,0,0.0,0.0
