decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,1029,0.06330749354005168,1029,0.06330749354005168,0.14929737072361393,67893,0.46411774356730745,1.0945238066791882
2,16254,0.1000012304814874,2030,0.12489233419465978,3059,0.09409991386735572,0.22191479934088193,65863,0.5065215719449357,1.1945242921097177
3,16254,0.1000012304814874,2855,0.17564907099790822,5914,0.12128296624420655,0.2860202949334152,63008,0.5537899029672338,1.3059966810087962
4,16253,0.09999507807405038,3885,0.2390327939457331,9799,0.1507190648311928,0.3554391248009694,59123,0.606246731540252,1.4297050470254704
5,16254,0.1000012304814874,5274,0.32447397563676633,15073,0.1854704745967097,0.4373929949798323,53849,0.6626019761532688,1.5626070050201677
6,16254,0.1000012304814874,6806,0.4187276977974652,21879,0.2243470770997611,0.5290752621462083,47043,0.7235714835038068,1.706390728442903
7,16253,0.09999507807405038,8682,0.5341783055435919,30561,0.26860673604275065,0.6334523325341198,38361,0.786698658791682,1.8552628566014102
8,16254,0.1000012304814874,10552,0.6491940445428818,41113,0.31618088133507655,0.7456459198868383,27809,0.8554509659160822,2.01740067174586
9,16254,0.1000012304814874,12719,0.7825150732127476,53832,0.36799649995898387,0.8678421274822744,15090,0.9283868586194167,2.18940459107807
10,16254,0.1000012304814874,15090,0.9283868586194167,68922,0.42403622537498925,1.0,0,0.0,0.0
