intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,38,7.8e-05,0,0.0
低意愿,2,386,0.000788,1,0.002591
低意愿,3,1860,0.003798,6,0.003226
低意愿,4,3705,0.007565,5,0.00135
低意愿,5,10059,0.020539,19,0.001889
低意愿,6,79812,0.162967,215,0.002694
低意愿,7,67388,0.137599,198,0.002938
中意愿,1,4127,0.008427,143,0.03465
中意愿,2,12845,0.026228,464,0.036123
中意愿,3,23272,0.047519,788,0.03386
中意愿,4,18759,0.038304,591,0.031505
中意愿,5,34495,0.070435,722,0.020931
中意愿,6,61195,0.124953,1276,0.020851
中意愿,7,8554,0.017466,227,0.026537
高意愿,1,7306,0.014918,2978,0.40761
高意愿,2,24166,0.049344,10522,0.435405
高意愿,3,34956,0.071376,14820,0.423962
高意愿,4,40696,0.083097,18441,0.45314
高意愿,5,9626,0.019655,3921,0.407334
高意愿,6,36849,0.075242,16589,0.450189
高意愿,7,9649,0.019702,4833,0.500881
