intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,38,0,0.0
低意愿,2,386,0,0.0
低意愿,3,1860,0,0.0
低意愿,4,3705,0,0.0
低意愿,5,10059,1,9.9e-05
低意愿,6,79812,1,1.3e-05
低意愿,7,67388,1,1.5e-05
中意愿,1,4127,2,0.000485
中意愿,2,12845,10,0.000779
中意愿,3,23272,15,0.000645
中意愿,4,18759,13,0.000693
中意愿,5,34495,13,0.000377
中意愿,6,61195,13,0.000212
中意愿,7,8554,0,0.0
高意愿,1,7306,61,0.008349
高意愿,2,24166,343,0.014193
高意愿,3,34956,476,0.013617
高意愿,4,40696,572,0.014055
高意愿,5,9626,114,0.011843
高意愿,6,36849,431,0.011696
高意愿,7,9649,86,0.008913
