feature,real_gain_mean,null_gain_percentile,null_percentile,null_importance_score,survives
ord_apl_sum_prc_amt_90_day,74746.84314076106,0.0,75.0,7.474684314076106e+16,True
his_180_day_csh_apl_ord_cnt_his_rto,53208.40454419454,0.0,75.0,5.320840454419454e+16,True
d360_apl_ord_ddf_mdl_ord_crt_dte_min,47602.42372560501,0.0,75.0,4.760242372560501e+16,True
d180_apl_ord_days_cnt_all,19071.22119696935,0.0,75.0,1.9071221196969348e+16,True
unpaid_principal_future_light_add_heavy,18085.04103255272,0.0,75.0,1.808504103255272e+16,True
ord_apl_max_prc_amt_180_day,12923.817153930664,0.0,75.0,1.2923817153930664e+16,True
his_360_day_csh_apl_ord_cnt,11175.31015364329,0.0,75.0,1.117531015364329e+16,True
d60_d360_apl_ord_prc_amt_avg_rat,8310.813567399979,0.0,75.0,8310813567399979.0,True
cnt_event_result_1_uid_recent_days_120,6988.921771367391,0.0,75.0,6988921771367391.0,True
d30_d60_apl_ord_cnt_rat,6920.499900817871,0.0,75.0,6920499900817871.0,True
cnt_other_info_cash_uid_recent_days_30,2792.790488243103,0.0,75.0,2792790488243103.0,True
dau_90d,2736.1322606404624,0.0,75.0,2736132260640462.5,True
cnt_avg_ord_span_30d,2209.274813890457,0.0,75.0,2209274813890457.2,True
d30_apl_ord_days_cnt_all,1923.053336461385,0.0,75.0,1923053336461385.0,True
clk_cnt_14d,1921.9904346466064,0.0,75.0,1921990434646606.5,True
d360_apl_ord_cnt_all,1777.9994974136353,0.0,75.0,1777999497413635.2,True
d90_bsy_typ_bt_cash_suc_ord_cnt_all,1310.5939353307087,0.0,75.0,1310593935330708.8,True
stg_pln_pay_off_sum_prc_amt_1m,998.8402862548828,0.0,75.0,998840286254882.9,True
stg_pln_max_rep_prc_1m_his,987.321210861206,0.0,75.0,987321210861206.1,True
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,761.2712052663168,0.0,75.0,761271205266316.8,True
his_30d_app_str_ctn_v2,699.3389601707458,0.0,75.0,699338960170745.9,True
pst_ord_apl_suc_max_prc_amt_180_day,675.956806063652,0.0,75.0,675956806063652.0,True
6m_used_lmt_first_der_min,657.9112828572592,0.0,75.0,657911282857259.1,True
m1_stg_pln_d0_rep_apl_cnt,541.4687678019205,0.0,75.0,541468767801920.56,True
his_720_day_csh_apl_ord_cnt_his_rto,537.0199038187662,0.0,75.0,537019903818766.25,True
