feature,non_null_rate,unique_count,drop_reason
d360_apl_ord_ddf_mdl_ord_crt_dte_min,0.4376336159985952,360,
his_90_day_csh_apl_ord_cnt_his_rto,0.9982276418448043,2011,
his_180_day_csh_apl_ord_cnt_his_rto,0.9982276418448043,2735,
ord_apl_sum_prc_amt_90_day,1.0,2834,
ord_apl_max_prc_amt_180_day,1.0,1452,
unpaid_principal_future_light_add_heavy,1.0,131771,
d180_apl_ord_days_cnt_all,0.448516875177389,171,
ord_apl_sum_prc_amt_360_day,1.0,7170,
his_360_day_csh_apl_ord_cnt,1.0,147,
cnt_event_result_1_uid_recent_days_120,1.0,371,
cnt_avb_lmt_2m_v2,0.9972761223743882,220,
stg_pln_max_rep_prc_1m_his,1.0,69121,
cnt_other_info_cash_uid_recent_days_30,1.0,38,
d360_apl_ord_cnt_all,0.448516875177389,702,
his_360_day_csh_apl_ord_cnt_his_rto,0.9982276418448043,3475,
dau_90d,1.0,91,
cnt_avg_ord_span_30d,0.12862868892459922,1702,
ddf_lst_app_str_tim_to_mdl_tim_sec,0.3149713216932146,145337,
d30_apl_ord_days_cnt_all,0.448516875177389,31,
clk_cnt_14d,1.0,715,
d90_bsy_typ_bt_cash_suc_ord_cnt_all,0.37834946083966486,54,
first_day_diff_event_result_0_event_type_loan_all,0.611920946292239,3227,
pst_ord_apl_suc_max_prc_amt_180_day,1.0,581,
his_30d_app_str_ctn_v2,0.3149713216932146,297,
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,0.35759571857076056,7,
3m_used_lmt_first_der_median,0.9990443967550328,169919,
d60_apl_ord_prc_amt_per_stg_avg_all,0.448516875177389,17808,
m1_stg_pln_d0_rep_apl_suc_cnt,0.39023120289621294,75,
6m_used_lmt_first_der_min,0.9990464386423084,191423,
max_avl_lmt_lft_rep_prc_1m_cash_3m,0.33457956520052357,152085,
sum_avb_lmt_2m_v2,0.3395066391964765,155177,
rsk_avl_lmt_ch_les_500_cnt_12m,0.4508425847842644,86,
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,0.4328290552391765,157014,
stg_pln_sum_prc_amt_6m_12m_ftr_rto_cash,0.22624927768237627,97943,
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,0.9962715138348073,272814,
d60_apl_ord_ddf_mdl_ord_crt_dte_max,0.20793354882050383,60,
his_720_day_csh_apl_ord_cnt_his_rto,0.9982276418448043,3781,
max_rsk_lmt_rate_12m_bt_ch,0.491416926837137,77091,
pst_ord_apl_suc_sum_prc_amt_90_180_day_rto,0.21226234984471448,16510,
first_amt_event_type_credit_all,0.7682600874336132,3576,
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,0.41820097479698537,2366,
rsk_avl_lmt_ch_1m_les_500_cnt_3m,0.38127956908010935,123,
ord_apl_fal_cnt_his,1.0,178,
18m_used_lmt_second_der_small_0_count,1.0,15,
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,0.3723708148967928,2147,
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,0.996381775747688,251339,
max_amt_other_info_manual_repay,0.9020710862636118,139173,
max_con_dau_7d,1.0,8,
12m_used_lmt_second_der_sum,0.9820865229314151,219416,
ddf_ato_fst_ord_crt_dte,0.9972761223743882,3117,
ord_apl_min_prc_amt_his,1.0,18952,
min_rsk_lmt_rate_3m_bt_ch,0.3714621750591637,127235,
rsi_abf_1y_inter_1m,0.4664099333732182,182163,
d7_d360_suc_ord_prc_amt_avg_rat_all,0.37834946083966486,7748,
rsk_avl_lmt_ch_les_1000_rate_12m,0.43997974447822635,1220,
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,0.567340421404696,101,
m1_stg_pln_d0_rep_apl_cnt,0.39023120289621294,202,
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,0.7218132775761982,12502,
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,0.6287603906538736,215635,
stg_pln_pay_off_sum_prc_amt_1m,1.0,115045,
cnt_avg_ord_span_30d_90d,0.20210396064874842,3511,
ai_call_cnt_21d,0.12744643619204357,145,
af_6m_trend,0.35245424641087264,95113,
ord_apl_min_prc_amt_360_day_bjq_12m,0.6880282107145993,5521,
d30_d60_his_rep_amt_sum_rat_btch,0.4893729976742904,89970,
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,0.6816207684438573,62249,
sum_talk_duration_180d,0.16124988003912255,2878,
d90_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,0.22810535321587036,93256,
rsk_avl_lmt_ch_1m_les_5000_cnt_3m,0.38127956908010935,200,
min_rsk_lmt_rate_12m_bt_ch,0.491416926837137,117441,
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,1.0,561,
rsk_lmt_rate_ch_1m_grt_0p95_rate_36m,0.7218132775761982,15150,
m1_manual_rep_apl_stg_pln_cnt_avg,0.32422719671337824,2572,
d360_apl_ord_stg_num_sum_all,0.448516875177389,1553,
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,0.5900543754581484,6398,
d15_suc_ord_prc_amt_avg_all,0.37834946083966486,4507,
d90_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,0.2531245980034426,86261,
12m_repay_ftr_amt_second_der_max,0.3200515372348354,68210,
6m_used_lmt_first_der_small_0_sum,0.3940148200178461,187872,
credit_reject_cnt_24m,0.3057256561094288,59,
his_360_day_csh_suc_ord_cnt_bjq_12m,0.6880282107145993,83,
m3_manual_rep_apl_suc_amt_avg,0.39248748833571895,97942,
d90_aplord_suc_month_cnt,0.2647551879250954,5,
credit_unique_scene_cnt_12m,0.47828963354249066,6,
rsk_avl_lmt_ch_les_10000_cnt_3m,0.2658353462938725,48,
percent_true_followup_code_wfjt_is_can_contact_person_yes_30d,0.16124988003912255,1672,
af_q2_q1_trend,0.35245424641087264,94354,
d360_apl_ord_stg_num_avg,0.4376336159985952,2179,
12m_used_lmt_first_der_mean_diff,0.9990505224168594,220422,
m6_stg_pln_manual_deduct_rep_apl_cnt_sum,0.39023120289621294,560,
ftr_pending_repay_gurantee_fee_sum_divide_ftr_principal_sum,0.31161037523762464,132610,
m1_rep_apl_suc_amt_max,0.39248748833571895,23018,
18m_used_lmt_second_der_min,0.9820865229314151,223462,
18m_used_lmt_second_der_sum,0.9820865229314151,234010,
18m_repay_amt_second_der_mean_diff,0.48780482824665183,145118,
stg_pln_pay_off_cnt_bjq_12m,0.6880282107145993,474,
lst_app_str_hr,0.3149713216932146,24,
stg_pln_pay_off_sum_prc_amt_1m_3m_rto,0.3492954467955642,107665,
m6_mrn_rep_apl_cnt,0.39248748833571895,722,
3m_repay_amt_first_der_mean_rto,0.3491668078972032,130952,
d180_suc_ord_cnt_all,0.37834946083966486,159,
tot_pending_repay_tot_fee_stddev,0.31161037523762464,87958,
