feature,gain,split
his_90_day_csh_apl_ord_cnt_his_rto,213306.57941246033,13
unpaid_principal_future_light_add_heavy,93942.29518413544,45
ord_apl_max_prc_amt_180_day,62201.02144527435,9
d360_apl_ord_ddf_mdl_ord_crt_dte_min,60519.30810379982,93
d60_apl_ord_prc_amt_per_stg_max_all,59518.499358177185,11
his_180_day_csh_apl_ord_cnt_his_rto,51069.82390785217,19
d180_apl_ord_days_cnt_all,49527.266733169556,39
ord_apl_sum_prc_amt_360_day,35160.752712249756,32
his_360_day_csh_apl_ord_cnt,29870.936882019043,50
cnt_event_result_1_uid_recent_days_120,26648.20104789734,34
dau_90d,12096.150789260864,93
cnt_other_info_cash_uid_recent_days_30,10972.660181999207,36
cnt_avg_ord_span_30d,6587.508786201477,21
ddf_lst_app_str_tim_to_mdl_tim_sec,5726.767982840538,150
d360_apl_ord_cnt_all,3835.3027172088623,12
his_720_day_csh_apl_ord_cnt_his_rto,3602.0342469215393,35
clk_cnt_14d,3600.091164827347,61
rsk_avl_lmt_ch_les_10000_cnt_3m,3271.663788795471,13
his_360_day_csh_apl_ord_cnt_his_rto,2202.0884766578674,13
his_30d_app_str_ctn_v2,2165.6032037734985,46
rsi_abf_1y_inter_1m,2056.7980437278748,30
d30_apl_ord_days_cnt_all,1936.7441806793213,18
first_day_diff_event_result_0_event_type_loan_all,1877.61667573452,53
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,1720.5884494781494,54
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,1494.0336408615112,61
6m_used_lmt_first_der_min,1317.4470233917236,21
sum_avb_lmt_2m_v2,1281.144564628601,58
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,1234.7064862251282,24
pst_ord_apl_suc_max_prc_amt_180_day,1212.508415222168,3
ord_apl_fal_cnt_his,1058.1963844299316,45
m1_stg_pln_d0_rep_apl_suc_cnt,1045.8138046264648,6
d7_d360_suc_ord_prc_amt_avg_rat_all,1039.561487197876,33
stg_pln_sum_prc_amt_6m_12m_ftr_rto_cash,1023.8154001235962,26
max_avl_lmt_lft_rep_prc_1m_cash_3m,1008.3455905914307,27
d90_bsy_typ_bt_cash_suc_ord_cnt_all,1005.9591007232666,18
af_6m_trend,1004.8465385437012,21
m1_stg_pln_d0_rep_apl_cnt,930.4248132705688,8
rsk_avl_lmt_ch_les_500_cnt_12m,923.7102041244507,14
d60_apl_ord_prc_amt_per_stg_avg_all,904.1777639389038,10
ddf_mdl_lst_ord_crt_dte,902.9310026168823,38
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,883.1502990722656,13
max_rsk_lmt_rate_12m_bt_ch,880.4418258666992,20
6m_used_lmt_first_der_max,859.1440544128418,28
rsk_avl_lmt_ch_1m_les_500_cnt_3m,840.5976905822754,16
stg_pln_pay_off_sum_prc_amt_1m,795.0328578948975,16
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,786.0059652328491,25
d60_apl_ord_ddf_mdl_ord_crt_dte_max,784.3140659332275,26
min_rsk_lmt_rate_12m_bt_ch,744.4571995735168,21
