decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
10,960000,0.1,750590,0.7818645833333333,750590,0.7818645833333333,5.000376398921567,750477,0.08686076388888889,0.5555137334531592
9,960000,0.1,418596,0.4360375,1169186,0.6089510416666667,3.8945163673573533,331881,0.043213671875,0.27637090816066173
8,960000,0.1,200312,0.20865833333333333,1369498,0.4755201388888889,3.041165606420855,131569,0.01957872023809524,0.12521474010534794
7,960000,0.1,81213,0.084596875,1450711,0.37778932291666667,2.416132990732592,50356,0.00874236111111111,0.055911339511605186
6,960000,0.1,25251,0.026303125,1475962,0.30749208333333333,1.966550460439141,25105,0.005230208333333333,0.03344953956085904
5,960000,0.1,10985,0.011442708333333333,1486947,0.25815052083333334,1.6509889298745493,14120,0.0036770833333333334,0.023516605188176144
4,959995,0.09999947916666667,6027,0.006278157698738014,1492974,0.22216891530425245,1.420870345508111,8093,0.002810064565860129,0.017971629402456543
3,960005,0.10000052083333333,3725,0.0038801881240201875,1496699,0.19488268229166666,1.2463625874128204,4368,0.002275,0.014549650348718612
2,960000,0.1,2646,0.00275625,1499345,0.17353530092592592,1.1098364622557746,1722,0.00179375,0.011471839698028136
1,960000,0.1,1722,0.00179375,1501067,0.15636114583333333,1.0,0,0.0,0.0
