decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
10,959978,0.10000007291839089,728933,0.7593226094764671,728933,0.7593226094764671,4.856101957438041,772132,0.0893692500805864,0.5715438798145723
9,959977,0.09999996874926105,405652,0.4225642906027957,1134585,0.5909435377391657,3.779265933262666,366480,0.04771988086176,0.30518333573825274
8,959977,0.09999996874926105,198405,0.20667682663230474,1332990,0.4628546785132427,2.960098227401949,168075,0.025011752510215642,0.1599578608722809
7,959957,0.0999978853666644,93102,0.09698559414640448,1426092,0.3713888604592476,2.3751461496587107,74973,0.013016407969327161,0.08324393799131397
6,959944,0.09999653116797658,36832,0.038368904852783076,1462924,0.30478643736146654,1.9492031405360843,38141,0.007946140993429085,0.05081801904841809
5,959507,0.09995100925823976,9510,0.009911339886003958,1472434,0.2556601971753708,1.6350257037628622,28631,0.007455148937632813,0.047677973627035575
4,960501,0.1000545533732933,9432,0.009819875252602549,1481866,0.22052099149369755,1.4102996606239084,19199,0.006666476847370008,0.04263417270038787
3,958244,0.09981944364726124,5619,0.005863850960715643,1487485,0.19373124939356623,1.2389710087069004,13580,0.007066703856193097,0.045193747690925025
2,639232,0.06658824120112007,5845,0.00914378504205046,1493330,0.17954467768873064,1.1482435132189337,7735,0.006031396008907908,0.03857263513480222
1,1282456,0.13359232556853168,7735,0.006031396008907908,1501065,0.15636463487209543,1.0,0,0.0,0.0
