decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
10,641834,0.1000000934822027,103458,0.16119121143473233,103458,0.16119121143473233,6.65191526353416,52073,0.009014628235090453,0.3720087628745462
9,641833,0.09999993767853153,20630,0.032142317394088495,124088,0.09666681468013122,3.9891719550005162,31443,0.0061236687792996115,0.2527068657111263
8,641833,0.09999993767853153,10710,0.016686583581710508,134798,0.07000675149311868,2.8889849183624765,20733,0.004614681957980197,0.19043515511435577
7,641834,0.1000000934822027,6517,0.010153715758280179,141315,0.05504348090275749,2.271492145980667,14216,0.0036915086990392107,0.15233834923159456
6,641833,0.09999993767853153,4478,0.006976892743127885,145793,0.04543016926199229,1.8747773755714296,9738,0.003034432299721392,0.12522262442857052
5,641833,0.09999993767853153,2989,0.004656974633588488,148782,0.038634640353155024,1.5943447014191827,6749,0.002628797032252134,0.10848317937390596
4,641832,0.09999978187486036,2368,0.0036894389809171246,151150,0.033642477617680785,1.3883319591451195,4381,0.0022752508177088363,0.09389330539782054
3,641833,0.09999993767853153,1908,0.002972735898590443,153058,0.02980876064942893,1.2301250681477762,2473,0.0019265090922971576,0.07950169939368991
2,641821,0.09999806803447749,1451,0.0022607549456935814,154509,0.02674792252590935,1.1038127484386384,1022,0.0015922772992982763,0.06570887814978559
1,641848,0.10000227473359909,1022,0.0015922772992982763,155531,0.02423230078085684,1.0,0,0.0,0.0
