decile,decile_int,n_samples,pct,bad,bad_rate,score_min,score_max,lower_bound,segment,final_flag,score_column
010,10,360000,0.1,283550,0.7876388888888889,0.5801401076901622,0.9983048832626005,"(0.580140, 0.998305]",全客群,DEV,model_score
009,9,360000,0.1,153305,0.4258472222222222,0.29080024926425735,0.5801395197635895,"(0.290800, 0.580140]",全客群,DEV,model_score
008,8,360000,0.1,69368,0.19268888888888888,0.12429601561475673,0.2907975629432038,"(0.124296, 0.290798]",全客群,DEV,model_score
007,7,360000,0.1,26977,0.0749361111111111,0.041087430287121064,0.12429554259171913,"(0.041087, 0.124296]",全客群,DEV,model_score
006,6,360000,0.1,8480,0.023555555555555555,0.01491277289331567,0.0410874082138366,"(0.014913, 0.041087]",全客群,DEV,model_score
005,5,360000,0.1,3795,0.010541666666666666,0.007863834447876137,0.01491276477727595,"(0.007864, 0.014913]",全客群,DEV,model_score
004,4,360000,0.1,2201,0.006113888888888889,0.004447594877510005,0.00786383111624686,"(0.004448, 0.007864]",全客群,DEV,model_score
003,3,360000,0.1,1360,0.003777777777777778,0.0033515187681044936,0.004447592819574856,"(0.003352, 0.004448]",全客群,DEV,model_score
002,2,360000,0.1,964,0.0026777777777777776,0.0027874996080842532,0.0033515176452772358,"(0.002787, 0.003352]",全客群,DEV,model_score
001,1,360000,0.1,617,0.001713888888888889,0.0009674879094371255,0.0027874992687614074,"(0.000967, 0.002787]",全客群,DEV,model_score
010,10,360000,0.1,291912,0.8108666666666666,0.6233626863255569,0.9985227134089499,"(0.623363, 0.998523]",全客群,DEV-OOS,model_score
009,9,360000,0.1,176495,0.4902638888888889,0.34242063954883273,0.6233619667244212,"(0.342421, 0.623362]",全客群,DEV-OOS,model_score
008,8,360000,0.1,90899,0.2524972222222222,0.1577624869956023,0.3424198525900046,"(0.157762, 0.342420]",全客群,DEV-OOS,model_score
007,7,360000,0.1,40535,0.11259722222222222,0.06068033723024593,0.1577620852372577,"(0.060680, 0.157762]",全客群,DEV-OOS,model_score
006,6,360000,0.1,13532,0.03758888888888889,0.018083750979539452,0.06068021238451261,"(0.018084, 0.060680]",全客群,DEV-OOS,model_score
005,5,360000,0.1,5215,0.014486111111111111,0.009047149609298958,0.018083750344555644,"(0.009047, 0.018084]",全客群,DEV-OOS,model_score
004,4,360000,0.1,2786,0.007738888888888889,0.004796060447037895,0.009047147669085523,"(0.004796, 0.009047]",全客群,DEV-OOS,model_score
003,3,359997,0.09999916666666667,1639,0.00455281571790876,0.003424433612025703,0.004796055922787765,"(0.003424, 0.004796]",全客群,DEV-OOS,model_score
002,2,360002,0.10000055555555555,1169,0.0032472041821989877,0.0028139412002698852,0.0034244326816790216,"(0.002814, 0.003424]",全客群,DEV-OOS,model_score
001,1,360001,0.10000027777777777,718,0.001994438904336377,0.0008509916559955149,0.0028139386591525314,"(0.000851, 0.002814]",全客群,DEV-OOS,model_score
010,10,120000,0.1,84408,0.7034,0.5058911000233624,0.9979901119756859,"(0.505891, 0.997990]",全客群,OOT,model_score
009,9,120000,0.1,41712,0.3476,0.23023759402663266,0.5058904721424141,"(0.230238, 0.505890]",全客群,OOT,model_score
008,8,120000,0.1,17864,0.14886666666666667,0.08485415230890997,0.23023481384556907,"(0.084854, 0.230235]",全客群,OOT,model_score
007,7,120000,0.1,5813,0.04844166666666667,0.024245914563188167,0.08485267742156614,"(0.024246, 0.084853]",全客群,OOT,model_score
006,6,120000,0.1,1931,0.016091666666666667,0.0114331917911211,0.024245604217799265,"(0.011433, 0.024246]",全客群,OOT,model_score
005,5,120000,0.1,983,0.008191666666666667,0.0062085869025304136,0.011433174599231943,"(0.006209, 0.011433]",全客群,OOT,model_score
004,4,119999,0.09999916666666667,548,0.004566704722539354,0.003950950269532016,0.0062085629034705605,"(0.003951, 0.006209]",全客群,OOT,model_score
003,3,120000,0.1,379,0.0031583333333333333,0.00318195225447543,0.003950943078600983,"(0.003182, 0.003951]",全客群,OOT,model_score
002,2,119997,0.0999975,246,0.002050051251281282,0.0027245847523875246,0.003181942398144784,"(0.002725, 0.003182]",全客群,OOT,model_score
001,1,120004,0.10000333333333333,188,0.001566614446185127,0.0010937229708150407,0.0027245776164363704,"(0.001094, 0.002725]",全客群,OOT,model_score
010,10,120000,0.1,87123,0.726025,0.5340924044995133,0.9980120051416576,"(0.534092, 0.998012]",全客群,OOT-OOS,model_score
009,9,120000,0.1,46821,0.390175,0.27415782825264007,0.5340880683506789,"(0.274158, 0.534088]",全客群,OOT-OOS,model_score
008,8,120000,0.1,22861,0.19050833333333334,0.11675694262832959,0.2741543842484515,"(0.116757, 0.274154]",全客群,OOT-OOS,model_score
007,7,120000,0.1,9236,0.07696666666666667,0.03678673755003021,0.1167568536008813,"(0.036787, 0.116757]",全客群,OOT-OOS,model_score
006,6,120000,0.1,2729,0.022741666666666667,0.013567008648850003,0.03678639396884098,"(0.013567, 0.036786]",全客群,OOT-OOS,model_score
005,5,120000,0.1,1220,0.010166666666666666,0.007158725224415289,0.01356700005568024,"(0.007159, 0.013567]",全客群,OOT-OOS,model_score
004,4,120000,0.1,600,0.005,0.004202475335936826,0.0071586162960378275,"(0.004202, 0.007159]",全客群,OOT-OOS,model_score
003,3,120000,0.1,383,0.003191666666666667,0.0032668401263999777,0.004202443563399138,"(0.003267, 0.004202]",全客群,OOT-OOS,model_score
002,2,120000,0.1,295,0.002458333333333333,0.0027552458206394335,0.0032668398708876776,"(0.002755, 0.003267]",全客群,OOT-OOS,model_score
001,1,120000,0.1,210,0.00175,0.0010221096760150053,0.0027552405174134406,"(0.001022, 0.002755]",全客群,OOT-OOS,model_score
010,10,105773,0.10000066179897761,98908,0.9350968583665018,0.8599947414596183,0.9983048832626005,"(0.859995, 0.998305]",老户,DEV,model_score
009,9,105772,0.09999971637186673,85175,0.8052698256627463,0.7298684268472643,0.8599945389468441,"(0.729868, 0.859995]",老户,DEV,model_score
008,8,105772,0.09999971637186673,71234,0.6734674583065462,0.6061019264534379,0.7298662047104467,"(0.606102, 0.729866]",老户,DEV,model_score
007,7,105772,0.09999971637186673,58441,0.55251862496691,0.4933430795432088,0.6061019024072044,"(0.493343, 0.606102]",老户,DEV,model_score
006,6,105772,0.09999971637186673,46596,0.4405324660590704,0.39234154526950576,0.49334025509427615,"(0.392342, 0.493340]",老户,DEV,model_score
005,5,105773,0.10000066179897761,36264,0.3428474185283579,0.30066531052429085,0.3923412072130798,"(0.300665, 0.392341]",老户,DEV,model_score
004,4,105772,0.09999971637186673,26404,0.24963128238097038,0.21691560250381348,0.3006652017460337,"(0.216916, 0.300665]",老户,DEV,model_score
003,3,105772,0.09999971637186673,18734,0.17711681730514692,0.14821970203465154,0.21691536113253104,"(0.148220, 0.216915]",老户,DEV,model_score
002,2,105772,0.09999971637186673,12444,0.11764928336421737,0.09731382198964439,0.14821910756007264,"(0.097314, 0.148219]",老户,DEV,model_score
001,1,105773,0.10000066179897761,6336,0.059901865315345124,0.0024592989530784846,0.09731291788158657,"(0.002459, 0.097313]",老户,DEV,model_score
010,10,112987,0.10000061954413943,105571,0.9343641303866816,0.8687897875704528,0.9985227134089499,"(0.868790, 0.998523]",老户,DEV-OOS,model_score
009,9,112986,0.09999973448108311,91941,0.813737985237109,0.7451894416236962,0.8687885610060434,"(0.745189, 0.868789]",老户,DEV-OOS,model_score
008,8,112986,0.09999973448108311,78481,0.6946081815446161,0.6250157270578593,0.7451885329336239,"(0.625016, 0.745189]",老户,DEV-OOS,model_score
007,7,112986,0.09999973448108311,65730,0.581753491583028,0.5136923859978274,0.6250151810263987,"(0.513692, 0.625015]",老户,DEV-OOS,model_score
006,6,112986,0.09999973448108311,53655,0.4748818437682545,0.411763244000273,0.5136920510393529,"(0.411763, 0.513692]",老户,DEV-OOS,model_score
005,5,112987,0.10000061954413943,42658,0.3775478594882597,0.3175750083893566,0.4117632031314595,"(0.317575, 0.411763]",老户,DEV-OOS,model_score
004,4,112986,0.09999973448108311,31971,0.2829642610588923,0.23003761339197348,0.31757444312486965,"(0.230038, 0.317574]",老户,DEV-OOS,model_score
003,3,112986,0.09999973448108311,22754,0.20138778255713097,0.15600255848116273,0.23003760319035568,"(0.156003, 0.230038]",老户,DEV-OOS,model_score
