decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
10,318167,0.10000012572029873,284953,0.8956082811856666,284953,0.8956082811856666,2.117763045780176,1060583,0.370380083946249,0.8758039325361241
9,318166,0.0999998114195519,240613,0.7562498821369976,525566,0.8259291911624889,1.9529992701266938,819970,0.3221464539217462,0.7617502760709386
8,318167,0.10000012572029873,200139,0.6290375808930531,725705,0.7602985856469355,1.797808575765303,619831,0.27830480529964985,0.6580819366100318
7,318166,0.0999998114195519,164445,0.5168528378267948,890150,0.6994372443359059,1.6538953245674917,455386,0.23854688318491357,0.5640700119769454
6,318167,0.10000012572029873,131945,0.4147035990533273,1022095,0.6424904436857923,1.51923842988965,323441,0.20331549571828092,0.48076157011035003
5,318166,0.0999998114195519,104185,0.3274548506125733,1126280,0.5899845940202169,1.3950826461112353,219256,0.17228073015172077,0.40737649648831753
4,318167,0.10000012572029873,80733,0.2537441029396512,1207013,0.5419501734491278,1.2815000420332066,138523,0.14512624410686223,0.3431667652017515
3,318166,0.0999998114195519,60380,0.18977514882168428,1267393,0.4979283645512648,1.17740569403447,78143,0.12280186191528349,0.2903783390355608
2,318165,0.09999949711880506,45207,0.14208665315166658,1312600,0.45839056230895303,1.083914266745206,32936,0.10351731312604308,0.24477792908141066
1,318169,0.10000075432179242,32936,0.10351731312604308,1345536,0.4229029697020366,1.0,0,0.0,0.0
