decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
10,318167,0.10000012572029873,292655,0.9198156942737619,292655,0.9198156942737619,2.1750041030022405,1052881,0.367690367623666,0.869443806182606
9,318166,0.0999998114195519,246964,0.7762111602119648,539619,0.8480135400804296,2.0052201115492565,805917,0.3166253688613631,0.7486950708443756
8,318167,0.10000012572029873,205464,0.6457740746211895,745083,0.780600314300681,1.8458142179769181,600453,0.2696040618436165,0.6375080837894579
7,318166,0.0999998114195519,167309,0.5258544281915729,912392,0.7169139428569633,1.6952208762262346,433144,0.22689575694080671,0.5365196586362823
6,318167,0.10000012572029873,134092,0.42145162760437127,1046484,0.6578214055152238,1.5554901541095891,299052,0.18798453388884942,0.4445098458904109
5,318166,0.0999998114195519,104486,0.32840089764462577,1150970,0.6029180738177443,1.4256652636952167,194566,0.1528805256991813,0.3615026061578519
4,318167,0.10000012572029873,78088,0.24543085863713082,1229058,0.5518484028581615,1.3049054804391078,116478,0.12203038239916186,0.28855409193541587
3,318166,0.0999998114195519,56558,0.177762551623995,1285616,0.5050877449385778,1.1943348264838287,59920,0.09416438536994723,0.22266191565477142
2,318167,0.10000012572029873,39175,0.12312716277929515,1324791,0.46264762097000905,1.0939805442746717,20745,0.0652016079605993,0.154176283052678
1,318167,0.10000012572029873,20745,0.0652016079605993,1345536,0.4229029697020366,1.0,0,0.0,0.0
