intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,2545,0.000265,2,0.000786
低意愿,2,8207,0.000855,22,0.002681
低意愿,3,38568,0.004018,90,0.002334
低意愿,4,73723,0.007679,153,0.002075
低意愿,5,193685,0.020176,557,0.002876
低意愿,6,1548713,0.161324,4356,0.002813
低意愿,7,1334559,0.139017,4509,0.003379
中意愿,1,75753,0.007891,3146,0.04153
中意愿,2,243402,0.025354,9285,0.038147
中意愿,3,446960,0.046558,14923,0.033388
中意愿,4,370565,0.038601,12534,0.033824
中意愿,5,673258,0.070131,14263,0.021185
中意愿,6,1224195,0.12752,26042,0.021273
中意愿,7,165867,0.017278,4760,0.028698
高意愿,1,146972,0.01531,58458,0.397749
高意愿,2,478718,0.049866,207341,0.433117
高意愿,3,686948,0.071557,290629,0.423073
高意愿,4,790468,0.08234,357797,0.452639
高意愿,5,192417,0.020043,77006,0.400204
高意愿,6,715925,0.074576,319785,0.446674
高意愿,7,188552,0.019641,95409,0.506009
