intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,2545,0,0.0
低意愿,2,8207,0,0.0
低意愿,3,38568,3,7.8e-05
低意愿,4,73723,1,1.4e-05
低意愿,5,193685,5,2.6e-05
低意愿,6,1548713,25,1.6e-05
低意愿,7,1334559,27,2e-05
中意愿,1,75753,51,0.000673
中意愿,2,243402,156,0.000641
中意愿,3,446960,254,0.000568
中意愿,4,370565,210,0.000567
中意愿,5,673258,153,0.000227
中意愿,6,1224195,250,0.000204
中意愿,7,165867,26,0.000157
高意愿,1,146972,1377,0.009369
高意愿,2,478718,6449,0.013471
高意愿,3,686948,9359,0.013624
高意愿,4,790468,11529,0.014585
高意愿,5,192417,2052,0.010664
高意愿,6,715925,8106,0.011322
高意愿,7,188552,1717,0.009106
