intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate,segment,score_version,final_flag
低意愿,1,13793,17063842.42,132461.03,0.007762673068566698,老户,model_score,DEV-OOS
低意愿,2,62574,50533117.1,781798.37,0.015471010198181501,老户,model_score,DEV-OOS
低意愿,3,99346,39950363.410000004,1225200.37,0.030668065705087413,老户,model_score,DEV-OOS
低意愿,4,113766,26985721.19,1027478.0800000001,0.0380748794062524,老户,model_score,DEV-OOS
低意愿,5,15460,2949614.71,119396.53,0.04047868679092667,老户,model_score,DEV-OOS
低意愿,6,59363,8144851.09,288771.11,0.03545443701905666,老户,model_score,DEV-OOS
低意愿,7,12319,747182.52,30846.9,0.04128429021599703,老户,model_score,DEV-OOS
中意愿,1,16851,60971440.92,1040703.66,0.01706870699292635,老户,model_score,DEV-OOS
中意愿,2,56299,110830130.82000001,2632359.67,0.02375129985432602,老户,model_score,DEV-OOS
中意愿,3,72246,72975907.57000001,2132690.42,0.029224582345266197,老户,model_score,DEV-OOS
中意愿,4,98696,56313795.84,1981047.09,0.03517871705236483,老户,model_score,DEV-OOS
中意愿,5,17750,7311301.33,314334.09,0.0429929058880685,老户,model_score,DEV-OOS
中意愿,6,86265,27382526.25,1428693.03,0.05217535507703567,老户,model_score,DEV-OOS
中意愿,7,28514,4935151.44,241975.38,0.04903099386956198,老户,model_score,DEV-OOS
高意愿,1,13795,144168056.18,4513949.0,0.03131032712519992,老户,model_score,DEV-OOS
高意愿,2,52428,316343836.73,11998284.02,0.037927984132785725,老户,model_score,DEV-OOS
高意愿,3,70098,212566783.84,11193972.950000001,0.0526609696387266,老户,model_score,DEV-OOS
高意愿,4,99968,172420059.97,9783419.67,0.056741771645957284,老户,model_score,DEV-OOS
高意愿,5,17809,20991472.53,1101545.82,0.05247587173437804,老户,model_score,DEV-OOS
高意愿,6,88138,67694677.62,4162328.0900000003,0.061486785022671624,老户,model_score,DEV-OOS
高意愿,7,34385,12184994.15,771186.06,0.06328981782892362,老户,model_score,DEV-OOS
低意愿,合计,376621,146374692.44,3605952.39,0.024635080900191165,老户,model_score,DEV-OOS
中意愿,合计,376621,340720254.17,9771803.34,0.028679842834128746,老户,model_score,DEV-OOS
高意愿,合计,376621,946369881.02,43524685.61,0.045991199089185905,老户,model_score,DEV-OOS
合计,1,44439,222203339.52,5687113.69,0.025594186398301706,老户,model_score,DEV-OOS
合计,2,171301,477707084.65000004,15412442.06,0.032263373425353695,老户,model_score,DEV-OOS
合计,3,241690,325493054.82,14551863.74,0.04470714051962579,老户,model_score,DEV-OOS
合计,4,312430,255719577.0,12791944.84,0.05002333020439808,老户,model_score,DEV-OOS
合计,5,51019,31252388.57,1535276.44,0.04912509124098606,老户,model_score,DEV-OOS
合计,6,233766,103222054.96000001,5879792.23,0.05696255739413929,老户,model_score,DEV-OOS
合计,7,75218,17867328.11,1044008.3400000001,0.058431139427930955,老户,model_score,DEV-OOS
低意愿,1,80,0.0,0.0,0.0,流失户,model_score,DEV-OOS
低意愿,2,687,0.0,0.0,0.0,流失户,model_score,DEV-OOS
低意愿,3,4156,41528.94,0.0,0.0,流失户,model_score,DEV-OOS
低意愿,4,11213,61367.43,2756.01,0.044909979120846356,流失户,model_score,DEV-OOS
低意愿,5,27820,382402.7,0.0,0.0,流失户,model_score,DEV-OOS
低意愿,6,329602,1131567.11,36198.51,0.03198971557241532,流失户,model_score,DEV-OOS
低意愿,7,397237,1127640.92,29161.450000000004,0.025860581575915146,流失户,model_score,DEV-OOS
中意愿,1,2294,95152.53,0.0,0.0,流失户,model_score,DEV-OOS
中意愿,2,10335,251418.41,23301.95,0.09268195594745826,流失户,model_score,DEV-OOS
中意愿,3,36474,661965.29,2444.4700000000003,0.0036927464882637578,流失户,model_score,DEV-OOS
中意愿,4,43695,522952.99000000005,16101.06,0.030788733036979096,流失户,model_score,DEV-OOS
中意愿,5,122182,1945817.6,34970.35,0.017972059662735088,流失户,model_score,DEV-OOS
中意愿,6,434974,3729351.1300000004,115864.37000000001,0.031068238404250232,流失户,model_score,DEV-OOS
中意愿,7,120838,753769.56,7423.11,0.009847983248355107,流失户,model_score,DEV-OOS
高意愿,1,34487,21890550.71,410480.49,0.018751492159239515,流失户,model_score,DEV-OOS
高意愿,2,81270,21000473.76,586490.18,0.027927473765715655,流失户,model_score,DEV-OOS
高意愿,3,122125,16720524.76,587518.2000000001,0.03513754552760819,流失户,model_score,DEV-OOS
高意愿,4,78806,6756911.59,149061.37,0.022060577234813278,流失户,model_score,DEV-OOS
高意愿,5,175971,11913001.82,339191.15,0.028472349381375318,流失户,model_score,DEV-OOS
高意愿,6,241412,11098017.43,527924.1,0.047569226064911665,流失户,model_score,DEV-OOS
高意愿,7,36722,1339893.1600000001,72112.98,0.053819947853155685,流失户,model_score,DEV-OOS
低意愿,合计,770795,2744507.1,68115.97,0.02481901759335948,流失户,model_score,DEV-OOS
中意愿,合计,770792,7960427.510000001,200105.31,0.025137507972860112,流失户,model_score,DEV-OOS
高意愿,合计,770793,90719373.23,2672778.47,0.02946204735369731,流失户,model_score,DEV-OOS
合计,1,36861,21985703.240000002,410480.49,0.01867033706036687,流失户,model_score,DEV-OOS
合计,2,92292,21251892.17,609792.13,0.028693545267503583,流失户,model_score,DEV-OOS
合计,3,162755,17424018.990000002,589962.67,0.0338591613300348,流失户,model_score,DEV-OOS
合计,4,133714,7341232.01,167918.44,0.0228733324013281,流失户,model_score,DEV-OOS
合计,5,325973,14241222.120000001,374161.5,0.026273131396113633,流失户,model_score,DEV-OOS
合计,6,1005988,15958935.67,679986.98,0.042608541951720265,流失户,model_score,DEV-OOS
合计,7,554797,3221303.64,108697.54000000001,0.033743338768275816,流失户,model_score,DEV-OOS
