segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate
老户,DEV-OOS,model_score,低意愿,1,13793,17063842.42,132461.03,0.007762673068566698
老户,DEV-OOS,model_score,低意愿,2,62574,50533117.1,781798.37,0.015471010198181501
老户,DEV-OOS,model_score,低意愿,3,99346,39950363.410000004,1225200.37,0.030668065705087413
老户,DEV-OOS,model_score,低意愿,4,113766,26985721.19,1027478.0800000001,0.0380748794062524
老户,DEV-OOS,model_score,低意愿,5,15460,2949614.71,119396.53,0.04047868679092667
老户,DEV-OOS,model_score,低意愿,6,59363,8144851.09,288771.11,0.03545443701905666
老户,DEV-OOS,model_score,低意愿,7,12319,747182.52,30846.9,0.04128429021599703
老户,DEV-OOS,model_score,中意愿,1,16851,60971440.92,1040703.66,0.01706870699292635
老户,DEV-OOS,model_score,中意愿,2,56299,110830130.82000001,2632359.67,0.02375129985432602
老户,DEV-OOS,model_score,中意愿,3,72246,72975907.57000001,2132690.42,0.029224582345266197
老户,DEV-OOS,model_score,中意愿,4,98696,56313795.84,1981047.09,0.03517871705236483
老户,DEV-OOS,model_score,中意愿,5,17750,7311301.33,314334.09,0.0429929058880685
老户,DEV-OOS,model_score,中意愿,6,86265,27382526.25,1428693.03,0.05217535507703567
老户,DEV-OOS,model_score,中意愿,7,28514,4935151.44,241975.38,0.04903099386956198
老户,DEV-OOS,model_score,高意愿,1,13795,144168056.18,4513949.0,0.03131032712519992
老户,DEV-OOS,model_score,高意愿,2,52428,316343836.73,11998284.02,0.037927984132785725
老户,DEV-OOS,model_score,高意愿,3,70098,212566783.84,11193972.950000001,0.0526609696387266
老户,DEV-OOS,model_score,高意愿,4,99968,172420059.97,9783419.67,0.056741771645957284
老户,DEV-OOS,model_score,高意愿,5,17809,20991472.53,1101545.82,0.05247587173437804
老户,DEV-OOS,model_score,高意愿,6,88138,67694677.62,4162328.0900000003,0.061486785022671624
老户,DEV-OOS,model_score,高意愿,7,34385,12184994.15,771186.06,0.06328981782892362
老户,DEV-OOS,model_score,低意愿,合计,376621,146374692.44,3605952.39,0.024635080900191165
老户,DEV-OOS,model_score,中意愿,合计,376621,340720254.17,9771803.34,0.028679842834128746
老户,DEV-OOS,model_score,高意愿,合计,376621,946369881.02,43524685.61,0.045991199089185905
老户,DEV-OOS,model_score,合计,1,44439,222203339.52,5687113.69,0.025594186398301706
老户,DEV-OOS,model_score,合计,2,171301,477707084.65000004,15412442.06,0.032263373425353695
老户,DEV-OOS,model_score,合计,3,241690,325493054.82,14551863.74,0.04470714051962579
老户,DEV-OOS,model_score,合计,4,312430,255719577.0,12791944.84,0.05002333020439808
老户,DEV-OOS,model_score,合计,5,51019,31252388.57,1535276.44,0.04912509124098606
老户,DEV-OOS,model_score,合计,6,233766,103222054.96000001,5879792.23,0.05696255739413929
老户,DEV-OOS,model_score,合计,7,75218,17867328.11,1044008.3400000001,0.058431139427930955
老户,DEV-OOS,gcard_v2,低意愿,1,11912,17694036.6,168789.62,0.009539350675922077
老户,DEV-OOS,gcard_v2,低意愿,2,59470,53407228.58,757867.86,0.01419036112058822
老户,DEV-OOS,gcard_v2,低意愿,3,99154,42561433.480000004,1161070.99,0.027279884512010095
老户,DEV-OOS,gcard_v2,低意愿,4,115578,30057462.310000002,1114271.98,0.03707139240524926
老户,DEV-OOS,gcard_v2,低意愿,5,15943,3345692.7800000003,109891.5,0.03284566373126465
老户,DEV-OOS,gcard_v2,低意愿,6,61417,9408963.9,295056.29000000004,0.031359062818808355
老户,DEV-OOS,gcard_v2,低意愿,7,13134,1190703.31,50148.18000000001,0.04211643620945339
老户,DEV-OOS,gcard_v2,中意愿,1,15335,50698491.9,866029.31,0.01708195406893356
老户,DEV-OOS,gcard_v2,中意愿,2,51746,98067308.67,2326681.3000000003,0.02372535079788277
老户,DEV-OOS,gcard_v2,中意愿,3,67828,65801971.79,1914460.07,0.02909426599114379
老户,DEV-OOS,gcard_v2,中意愿,4,96379,51481758.21,1678711.96,0.03260789876585685
老户,DEV-OOS,gcard_v2,中意愿,5,17864,7253099.05,299795.69,0.04133346145328044
老户,DEV-OOS,gcard_v2,中意愿,6,92303,27352605.89,1333096.4000000001,0.04873745504765141
老户,DEV-OOS,gcard_v2,中意愿,7,35152,5888671.21,277518.93,0.047127598078276815
老户,DEV-OOS,gcard_v2,高意愿,1,17192,153810811.02,4652294.76,0.030246864502879854
老户,DEV-OOS,gcard_v2,高意愿,2,60084,326232547.40000004,12327892.9,0.03778866639227303
老户,DEV-OOS,gcard_v2,高意愿,3,74704,217128149.55,11475330.940000001,0.052850498490328066
老户,DEV-OOS,gcard_v2,高意愿,4,100460,174179356.48,9998960.9,0.05740611919844889
老户,DEV-OOS,gcard_v2,高意愿,5,17211,20653596.740000002,1125589.25,0.05449846165632068
