intent_level,zc_level,n_samples,sample_pct,row_pct,col_pct,segment,score_version,final_flag
低意愿,1,13793,0.012207674735786551,0.036623024207359654,0.3103805216138977,老户,model_score,DEV-OOS
低意愿,2,62574,0.05538193568600795,0.16614580705802384,0.36528683428584774,老户,model_score,DEV-OOS
低意愿,3,99346,0.08792747439291312,0.26378242317873934,0.4110472092349704,老户,model_score,DEV-OOS
低意愿,4,113766,0.10069008366501071,0.30207025099503215,0.36413276573952563,老户,model_score,DEV-OOS
低意愿,5,15460,0.013683074850667736,0.04104922455200321,0.30302436347243183,老户,model_score,DEV-OOS
低意愿,6,59363,0.052539998212172624,0.15761999463651788,0.2539419761641984,老户,model_score,DEV-OOS
低意愿,7,12319,0.010903091790774633,0.032709275372323904,0.16377728735143185,老户,model_score,DEV-OOS
中意愿,1,16851,0.014914197562005306,0.044742592686015915,0.3791939512590292,老户,model_score,DEV-OOS
中意愿,2,56299,0.04982816500761597,0.1494844950228479,0.32865540773258767,老户,model_score,DEV-OOS
中意愿,3,72246,0.0639422655667103,0.1918267967001309,0.298920104265795,老户,model_score,DEV-OOS
中意愿,4,98696,0.08735218340630678,0.2620565502189203,0.3158979611432961,老户,model_score,DEV-OOS
中意愿,5,17750,0.01570986924963469,0.04712960774890407,0.3479096023050236,老户,model_score,DEV-OOS
中意愿,6,86265,0.0763499645532246,0.2290498936596738,0.369022869022869,老户,model_score,DEV-OOS
中意愿,7,28514,0.025236687987835692,0.07571006396350707,0.37908479353346275,老户,model_score,DEV-OOS
高意愿,1,13795,0.012209444861899186,0.03662833458569756,0.31042552712707305,老户,model_score,DEV-OOS
高意愿,2,52428,0.04640208591661113,0.1392062577498334,0.3060577579815646,老户,model_score,DEV-OOS
高意愿,3,70098,0.06204115012174043,0.18612345036522127,0.2900326864992346,老户,model_score,DEV-OOS
高意愿,4,99968,0.08847798361394257,0.26543395084182775,0.31996927311717827,老户,model_score,DEV-OOS
高意愿,5,17809,0.01576208796995742,0.047286263909872256,0.34906603422254456,老户,model_score,DEV-OOS
高意愿,6,88138,0.07800768765770717,0.23402306297312153,0.3770351548129326,老户,model_score,DEV-OOS
高意愿,7,34385,0.03043289319147543,0.09129867957442628,0.45713791911510543,老户,model_score,DEV-OOS
低意愿,合计,376621,0.3333333333333333,1.0,,老户,model_score,DEV-OOS
中意愿,合计,376621,0.3333333333333333,1.0,,老户,model_score,DEV-OOS
高意愿,合计,376621,0.3333333333333333,1.0,,老户,model_score,DEV-OOS
合计,1,44439,0.03933131715969104,,1.0,老户,model_score,DEV-OOS
合计,2,171301,0.15161218661023504,,1.0,老户,model_score,DEV-OOS
合计,3,241690,0.21391089008136385,,1.0,老户,model_score,DEV-OOS
合计,4,312430,0.2765202506852601,,1.0,老户,model_score,DEV-OOS
合计,5,51019,0.045155032070259844,,1.0,老户,model_score,DEV-OOS
合计,6,233766,0.2068976504231044,,1.0,老户,model_score,DEV-OOS
合计,7,75218,0.06657267297008575,,1.0,老户,model_score,DEV-OOS
低意愿,1,80,3.4596389866717406e-05,0.00010378894517997651,0.0021703155096172108,流失户,model_score,DEV-OOS
低意愿,2,687,0.00029709649798043575,0.0008912875667330483,0.007443765440124821,流失户,model_score,DEV-OOS
低意愿,3,4156,0.0017972824535759694,0.00539183570209978,0.025535313815243772,流失户,model_score,DEV-OOS
低意愿,4,11213,0.004849116494693779,0.01454731802878846,0.08385808516684864,流失户,model_score,DEV-OOS
低意愿,5,27820,0.012030894576150978,0.036092605686336834,0.08534449172170701,流失户,model_score,DEV-OOS
低意愿,6,329602,0.14253799116062238,0.42761304886513274,0.3276400911342879,流失户,model_score,DEV-OOS
低意愿,7,397237,0.17178707651856528,0.5153601152057291,0.7160042321786166,流失户,model_score,DEV-OOS
中意愿,1,2294,0.0009920514794281216,0.002976159586503233,0.06223379723827351,流失户,model_score,DEV-OOS
中意愿,2,10335,0.0044694211159065555,0.013408286541635098,0.11198153686126641,流失户,model_score,DEV-OOS
中意愿,3,36474,0.015773359049983133,0.04732015900528288,0.22410371417160763,流失户,model_score,DEV-OOS
中意愿,4,43695,0.018896115690327713,0.05668844513176058,0.3267795444007359,流失户,model_score,DEV-OOS
中意愿,5,122182,0.052838201333690826,0.1585148782031988,0.3748224546204747,流失户,model_score,DEV-OOS
中意愿,6,434974,0.18810662607356923,0.5643208543939221,0.43238487934249714,流失户,model_score,DEV-OOS
中意愿,7,120838,0.05225698198392998,0.15677121713769732,0.2178057920284356,流失户,model_score,DEV-OOS
高意愿,1,34487,0.01491407121666854,0.044742232999002325,0.9355958872521093,流失户,model_score,DEV-OOS
高意愿,2,81270,0.03514560755585155,0.10543686826424215,0.8805746976986087,流失户,model_score,DEV-OOS
高意愿,3,122125,0.05281355140591079,0.15844072273619506,0.7503609720131486,流失户,model_score,DEV-OOS
高意愿,4,78806,0.03408003874795665,0.10224016045812559,0.5893623704324155,流失户,model_score,DEV-OOS
高意愿,5,175971,0.07609951651545162,0.22829864827521787,0.5398330536578183,流失户,model_score,DEV-OOS
高意愿,6,241412,0.10439979588129979,0.3131995230885594,0.23997502952321498,流失户,model_score,DEV-OOS
高意愿,7,36722,0.01588060785856996,0.047641844178657564,0.06618997579294769,流失户,model_score,DEV-OOS
低意愿,合计,770795,0.33333405409145556,1.0,,流失户,model_score,DEV-OOS
中意愿,合计,770792,0.33333275672683554,1.0,,流失户,model_score,DEV-OOS
高意愿,合计,770793,0.3333331891817089,1.0,,流失户,model_score,DEV-OOS
合计,1,36861,0.01594071908596338,,1.0,流失户,model_score,DEV-OOS
合计,2,92292,0.039912125169738535,,1.0,流失户,model_score,DEV-OOS
合计,3,162755,0.0703841929094699,,1.0,流失户,model_score,DEV-OOS
合计,4,133714,0.057825270932978144,,1.0,流失户,model_score,DEV-OOS
合计,5,325973,0.14096861242529343,,1.0,流失户,model_score,DEV-OOS
合计,6,1005988,0.4350444131154914,,1.0,流失户,model_score,DEV-OOS
合计,7,554797,0.23992466636106521,,1.0,流失户,model_score,DEV-OOS
