intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate,segment,score_version,final_flag
低意愿,1,13793,2083,0.1510186326397448,老户,model_score,DEV-OOS
低意愿,2,62574,9282,0.14833636973822995,老户,model_score,DEV-OOS
低意愿,3,99346,13786,0.13876753970970146,老户,model_score,DEV-OOS
低意愿,4,113766,16837,0.14799676529015698,老户,model_score,DEV-OOS
低意愿,5,15460,2392,0.15472186287192755,老户,model_score,DEV-OOS
低意愿,6,59363,9469,0.15951013257416236,老户,model_score,DEV-OOS
低意愿,7,12319,1965,0.15950970046269988,老户,model_score,DEV-OOS
中意愿,1,16851,6747,0.4003916681502581,老户,model_score,DEV-OOS
中意愿,2,56299,23229,0.4126005790511377,老户,model_score,DEV-OOS
中意愿,3,72246,30545,0.4227915732358885,老户,model_score,DEV-OOS
中意愿,4,98696,42413,0.4297337278106509,老户,model_score,DEV-OOS
中意愿,5,17750,7805,0.43971830985915494,老户,model_score,DEV-OOS
中意愿,6,86265,37449,0.4341158059467919,老户,model_score,DEV-OOS
中意愿,7,28514,12881,0.4517430034369082,老户,model_score,DEV-OOS
高意愿,1,13795,10798,0.7827473722363175,老户,model_score,DEV-OOS
高意愿,2,52428,41983,0.8007743953612574,老户,model_score,DEV-OOS
高意愿,3,70098,56099,0.8002938742902793,老户,model_score,DEV-OOS
高意愿,4,99968,80168,0.8019366197183099,老户,model_score,DEV-OOS
高意愿,5,17809,14146,0.7943174799258802,老户,model_score,DEV-OOS
高意愿,6,88138,69323,0.7865279448138147,老户,model_score,DEV-OOS
高意愿,7,34385,26785,0.7789733895594009,老户,model_score,DEV-OOS
低意愿,合计,376621,55814,0.14819672827590602,老户,model_score,DEV-OOS
中意愿,合计,376621,161069,0.42766866425398475,老户,model_score,DEV-OOS
高意愿,合计,376621,299302,0.7947034286457738,老户,model_score,DEV-OOS
合计,1,44439,19628,0.44168410630302213,老户,model_score,DEV-OOS
合计,2,171301,74494,0.4348719505431959,老户,model_score,DEV-OOS
合计,3,241690,100430,0.41553229343373743,老户,model_score,DEV-OOS
合计,4,312430,139418,0.44623755721281566,老户,model_score,DEV-OOS
合计,5,51019,24343,0.4771359689527431,老户,model_score,DEV-OOS
合计,6,233766,116241,0.4972536639203306,老户,model_score,DEV-OOS
合计,7,75218,41631,0.5534712435853121,老户,model_score,DEV-OOS
低意愿,1,80,0,0.0,流失户,model_score,DEV-OOS
低意愿,2,687,1,0.001455604075691412,流失户,model_score,DEV-OOS
低意愿,3,4156,5,0.001203079884504331,流失户,model_score,DEV-OOS
低意愿,4,11213,22,0.0019620083831267277,流失户,model_score,DEV-OOS
低意愿,5,27820,77,0.0027677929547088426,流失户,model_score,DEV-OOS
低意愿,6,329602,750,0.0022754716294197245,流失户,model_score,DEV-OOS
低意愿,7,397237,1244,0.0031316317462874808,流失户,model_score,DEV-OOS
中意愿,1,2294,11,0.004795117698343505,流失户,model_score,DEV-OOS
中意愿,2,10335,66,0.006386066763425254,流失户,model_score,DEV-OOS
中意愿,3,36474,220,0.006031693809288808,流失户,model_score,DEV-OOS
中意愿,4,43695,287,0.006568257237670214,流失户,model_score,DEV-OOS
中意愿,5,122182,795,0.006506686746001866,流失户,model_score,DEV-OOS
中意愿,6,434974,2878,0.006616487422236732,流失户,model_score,DEV-OOS
中意愿,7,120838,1098,0.009086545623065592,流失户,model_score,DEV-OOS
高意愿,1,34487,3273,0.0949053266448227,流失户,model_score,DEV-OOS
高意愿,2,81270,6088,0.07491079118986095,流失户,model_score,DEV-OOS
高意愿,3,122125,7939,0.065007164790174,流失户,model_score,DEV-OOS
高意愿,4,78806,4542,0.05763520544121006,流失户,model_score,DEV-OOS
高意愿,5,175971,9954,0.05656613873876946,流失户,model_score,DEV-OOS
高意愿,6,241412,17329,0.07178185011515584,流失户,model_score,DEV-OOS
高意愿,7,36722,5273,0.1435923969282719,流失户,model_score,DEV-OOS
低意愿,合计,770795,2099,0.002723162449159634,流失户,model_score,DEV-OOS
中意愿,合计,770792,5355,0.006947399557857373,流失户,model_score,DEV-OOS
高意愿,合计,770793,54398,0.0705740711189645,流失户,model_score,DEV-OOS
合计,1,36861,3284,0.08909145166978649,流失户,model_score,DEV-OOS
合计,2,92292,6155,0.06669050405235556,流失户,model_score,DEV-OOS
合计,3,162755,8164,0.05016128536757703,流失户,model_score,DEV-OOS
合计,4,133714,4851,0.03627892367291383,流失户,model_score,DEV-OOS
合计,5,325973,10826,0.033211339589475204,流失户,model_score,DEV-OOS
合计,6,1005988,20957,0.020832256448387057,流失户,model_score,DEV-OOS
合计,7,554797,7615,0.013725741126934716,流失户,model_score,DEV-OOS
