segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
老户,DEV-OOS,model_score,低意愿,1,13793,2083,0.1510186326397448
老户,DEV-OOS,model_score,低意愿,2,62574,9282,0.14833636973822995
老户,DEV-OOS,model_score,低意愿,3,99346,13786,0.13876753970970146
老户,DEV-OOS,model_score,低意愿,4,113766,16837,0.14799676529015698
老户,DEV-OOS,model_score,低意愿,5,15460,2392,0.15472186287192755
老户,DEV-OOS,model_score,低意愿,6,59363,9469,0.15951013257416236
老户,DEV-OOS,model_score,低意愿,7,12319,1965,0.15950970046269988
老户,DEV-OOS,model_score,中意愿,1,16851,6747,0.4003916681502581
老户,DEV-OOS,model_score,中意愿,2,56299,23229,0.4126005790511377
老户,DEV-OOS,model_score,中意愿,3,72246,30545,0.4227915732358885
老户,DEV-OOS,model_score,中意愿,4,98696,42413,0.4297337278106509
老户,DEV-OOS,model_score,中意愿,5,17750,7805,0.43971830985915494
老户,DEV-OOS,model_score,中意愿,6,86265,37449,0.4341158059467919
老户,DEV-OOS,model_score,中意愿,7,28514,12881,0.4517430034369082
老户,DEV-OOS,model_score,高意愿,1,13795,10798,0.7827473722363175
老户,DEV-OOS,model_score,高意愿,2,52428,41983,0.8007743953612574
老户,DEV-OOS,model_score,高意愿,3,70098,56099,0.8002938742902793
老户,DEV-OOS,model_score,高意愿,4,99968,80168,0.8019366197183099
老户,DEV-OOS,model_score,高意愿,5,17809,14146,0.7943174799258802
老户,DEV-OOS,model_score,高意愿,6,88138,69323,0.7865279448138147
老户,DEV-OOS,model_score,高意愿,7,34385,26785,0.7789733895594009
老户,DEV-OOS,model_score,低意愿,合计,376621,55814,0.14819672827590602
老户,DEV-OOS,model_score,中意愿,合计,376621,161069,0.42766866425398475
老户,DEV-OOS,model_score,高意愿,合计,376621,299302,0.7947034286457738
老户,DEV-OOS,model_score,合计,1,44439,19628,0.44168410630302213
老户,DEV-OOS,model_score,合计,2,171301,74494,0.4348719505431959
老户,DEV-OOS,model_score,合计,3,241690,100430,0.41553229343373743
老户,DEV-OOS,model_score,合计,4,312430,139418,0.44623755721281566
老户,DEV-OOS,model_score,合计,5,51019,24343,0.4771359689527431
老户,DEV-OOS,model_score,合计,6,233766,116241,0.4972536639203306
老户,DEV-OOS,model_score,合计,7,75218,41631,0.5534712435853121
老户,DEV-OOS,gcard_v2,低意愿,1,11912,1915,0.16076225654801882
老户,DEV-OOS,gcard_v2,低意愿,2,59470,9429,0.15855052967882965
老户,DEV-OOS,gcard_v2,低意愿,3,99154,15024,0.15152187506303327
老户,DEV-OOS,gcard_v2,低意愿,4,115578,19130,0.16551592863693781
老户,DEV-OOS,gcard_v2,低意愿,5,15943,2885,0.18095715988207992
