final_flag,segment,mdl_month,score_version,score_label,n_samples,n_positive,bad_rate,auc,ks
DEV-OOS,全客群,2025-06,model_score,本轮模型,600000,112690,0.18781666666666666,0.929114229464148,0.7068024959586653
DEV-OOS,全客群,2025-06,gcard_v2,G卡V2,599755,112563,0.18768163666830623,0.9198845023939293,0.686417310129233
DEV-OOS,全客群,2025-06,gcard_v4,G卡V4,599982,112690,0.18782230133570674,0.9163019742010703,0.6774363208018397
DEV-OOS,全客群,2025-06,gcard_v5,G卡V5,600000,112690,0.18781666666666666,0.9149047014214645,0.6790344804360329
DEV-OOS,全客群,2025-06,gcard_v6,G卡V6,600000,112690,0.18781666666666666,0.9279361429025723,0.7019189815036918
DEV-OOS,全客群,2025-07,model_score,本轮模型,600000,110619,0.184365,0.9329370250565798,0.7182429210904822
DEV-OOS,全客群,2025-07,gcard_v2,G卡V2,599781,110516,0.1842605884481169,0.9241510036991364,0.7001442794637192
DEV-OOS,全客群,2025-07,gcard_v4,G卡V4,599980,110618,0.18436947898263276,0.9195345940411898,0.6901440521422464
DEV-OOS,全客群,2025-07,gcard_v5,G卡V5,600000,110619,0.184365,0.9208083134849032,0.6945032062037061
DEV-OOS,全客群,2025-07,gcard_v6,G卡V6,600000,110619,0.184365,0.9317902078012764,0.7144116716379931
DEV-OOS,全客群,2025-08,model_score,本轮模型,600000,111715,0.18619166666666667,0.9349270032955024,0.7227964346105326
DEV-OOS,全客群,2025-08,gcard_v2,G卡V2,599794,111610,0.18608055432365112,0.926619559626077,0.7047219017534039
DEV-OOS,全客群,2025-08,gcard_v4,G卡V4,599990,111715,0.18619476991283188,0.9224062855806371,0.6971583507025726
DEV-OOS,全客群,2025-08,gcard_v5,G卡V5,600000,111715,0.18619166666666667,0.923536203349661,0.7000469776500428
DEV-OOS,全客群,2025-08,gcard_v6,G卡V6,600000,111715,0.18619166666666667,0.9342799698561977,0.7204309483392091
DEV-OOS,全客群,2025-09,model_score,本轮模型,600000,102514,0.17085666666666666,0.9345203240450842,0.724498575509335
DEV-OOS,全客群,2025-09,gcard_v2,G卡V2,599775,102413,0.17075236547038472,0.9276626201662395,0.7082027580479076
DEV-OOS,全客群,2025-09,gcard_v4,G卡V4,599990,102514,0.17085951432523874,0.9216756421701686,0.6975781263179741
DEV-OOS,全客群,2025-09,gcard_v5,G卡V5,600000,102514,0.17085666666666666,0.924884737329182,0.7033954789139281
DEV-OOS,全客群,2025-09,gcard_v6,G卡V6,600000,102514,0.17085666666666666,0.9345573183616167,0.7236773403436433
