mdl_month,segment,final_flag,score_version,n_samples,positive,bad_rate,auc,ks
2025-12,流失户,OOT-OOS,gcard_v2,410658,10588,0.025783011654466732,0.8826705590971902,0.5995835437903014
2026-01,流失户,OOT-OOS,gcard_v2,416903,10559,0.025327234392652487,0.8812410693207509,0.5955240306859918
2025-12,流失户,OOT-OOS,gcard_v4,410658,10588,0.025783011654466732,0.8172374455267457,0.5625530752178814
2026-01,流失户,OOT-OOS,gcard_v4,416903,10559,0.025327234392652487,0.8223961231800848,0.5726932963196133
2025-12,流失户,OOT-OOS,gcard_v5,410669,10588,0.025782321042007065,0.8879716469475755,0.6169718543781813
2026-01,流失户,OOT-OOS,gcard_v5,416914,10559,0.02532656615033316,0.8884839223569136,0.6166919929587427
2025-12,流失户,OOT-OOS,gcard_v6,410669,10588,0.025782321042007065,0.8981567535464132,0.6378299783130335
2026-01,流失户,OOT-OOS,gcard_v6,416914,10559,0.02532656615033316,0.8968150180127441,0.6404012129067598
2025-12,流失户,OOT-OOS,model_score,410669,10588,0.025782321042007065,0.8932196660852414,0.6349928398566158
2026-01,流失户,OOT-OOS,model_score,416914,10559,0.02532656615033316,0.8929827074037524,0.6406069326021511
2025-12,老户次新,OOT-OOS,gcard_v2,189104,77190,0.40818808697859377,0.7780956673574998,0.4175334428676834
2026-01,老户次新,OOT-OOS,gcard_v2,182846,72875,0.39855944346608624,0.7697698900285469,0.40521534283176763
2025-12,老户次新,OOT-OOS,gcard_v4,189331,77315,0.40835890583158596,0.786332078621486,0.43324260672547565
2026-01,老户次新,OOT-OOS,gcard_v4,183086,73016,0.39880711796642015,0.776376944190689,0.4175368448610882
2025-12,老户次新,OOT-OOS,gcard_v5,189331,77315,0.40835890583158596,0.7728715009260001,0.40552310003884023
2026-01,老户次新,OOT-OOS,gcard_v5,183086,73016,0.39880711796642015,0.7661746541109147,0.3966352547407778
2025-12,老户次新,OOT-OOS,gcard_v6,189331,77315,0.40835890583158596,0.8003965953746336,0.4498960611709622
2026-01,老户次新,OOT-OOS,gcard_v6,183086,73016,0.39880711796642015,0.7918552477049053,0.4352053546430393
2025-12,老户次新,OOT-OOS,model_score,189331,77315,0.40835890583158596,0.8066191546342134,0.4606493957085962
2026-01,老户次新,OOT-OOS,model_score,183086,73016,0.39880711796642015,0.7965016344569678,0.44443637165106115
