segment,final_flag,n_samples,positive,bad_rate,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks,ks_uplift_vs_gcard_v2,ks_uplift_vs_gcard_v4,ks_uplift_vs_gcard_v5,ks_uplift_vs_gcard_v6
全客群,DEV,3600000,550617,0.152949,0.9386036640514402,0.7342545813811397,0.9293541852303815,0.7128717018447747,0.9246900810597988,0.7055775239299678,0.9263030758166584,0.7073242302297612,0.9363881095256095,0.7282439956055183,0.021383,0.028677,0.02693,0.006011
全客群,DEV-OOS,3600000,624900,0.173583,0.9332566288972678,0.7202751031674597,0.9251700635607276,0.7019509897022846,0.9201445293406312,0.6911141912374525,0.922193502788889,0.6971757131640206,0.9325716970067972,0.7173952369234982,0.018324,0.029161,0.023099,0.00288
全客群,OOT,1200000,154072,0.128393,0.9363136508774058,0.7356204499371735,0.9286924518180828,0.7182550288446671,0.9229373310041687,0.7083705253756165,0.9274147859129882,0.7136596948385349,0.9357049895237733,0.7335157958585128,0.017365,0.02725,0.021961,0.002105
全客群,OOT-OOS,1200000,171478,0.142898,0.9308758552530936,0.7181498178203968,0.9218989368087569,0.6989286182710859,0.9163054091511053,0.6856463085164519,0.9207005511057862,0.6954710773072368,0.9296756473316192,0.7155380354499719,0.019221,0.032504,0.022679,0.002612
老户次新,DEV,1184621,496651,0.419249,0.8304702591008049,0.5023373782942275,0.7994752097718743,0.4517491338685928,0.8055678279248687,0.46608806123253954,0.7871527233322042,0.4325104274157628,0.818806761304673,0.4818188192886669,0.050588,0.036249,0.069827,0.020519
老户次新,DEV-OOS,1287620,563048,0.437278,0.8232386824752846,0.4897577284201747,0.7977414587152603,0.4491717785147647,0.8038469767657259,0.4632753293967982,0.7859689227829783,0.43182140922974577,0.8179005136030737,0.4806421234545273,0.040586,0.026482,0.057936,0.009116
老户次新,OOT,337008,135506,0.402085,0.8040494143634237,0.4562468176218933,0.7772568686402386,0.41576324877664245,0.7851740903161435,0.4313318236372973,0.7730271728643232,0.40836893604513114,0.7996196832345371,0.44944610207120334,0.040484,0.024915,0.047878,0.006801
老户次新,OOT-OOS,372417,150331,0.403663,0.8017148043440699,0.45252180702042655,0.7740757693809619,0.4114066731856836,0.7815110328219135,0.42530520279981515,0.7696562840940422,0.4011272515396145,0.7962632577878641,0.4425895395687429,0.041115,0.027217,0.051395,0.009932
老户,DEV,1057723,460536,0.435403,0.8323340231286784,0.5045414571506083,0.8010794849808796,0.45260944218234495,0.8093990906442345,0.469486513568134,0.7898631983851472,0.43597023418581765,0.8213914481143418,0.4855582525027678,0.051932,0.035055,0.068571,0.018983
老户,DEV-OOS,1129863,516185,0.456856,0.8250610864919233,0.49176367997029585,0.7992456616981581,0.45012291045700964,0.808134106656891,0.4665619170283067,0.7886252512305298,0.4343769441196733,0.820573840129752,0.48349950278681814,0.041641,0.025202,0.057387,0.008264
老户,OOT,309770,127276,0.410873,0.8062330576032946,0.45925110816722575,0.7791746933049426,0.4177547890705702,0.7884693558149922,0.43539090785677426,0.7755820183194491,0.4114048056816354,0.8023798621309657,0.45357968168606927,0.041496,0.02386,0.047846,0.005671
老户,OOT-OOS,327473,136403,0.416532,0.8056980626626029,0.4576265830883519,0.7774756950087542,0.41492281106841655,0.7868227815823041,0.4326046482668743,0.7739211724367169,0.40733388824741407,0.8011279904489332,0.4495759286136999,0.042704,0.025022,0.050293,0.008051
次新,DEV,126898,36115,0.284599,0.780741456904118,0.42143950610902553,0.7391737404756175,0.3513391729719491,0.7266984703048254,0.34595747014663264,0.7051631166352693,0.2995829500994829,0.7602171555572111,0.38640503668356807,0.0701,0.075482,0.121857,0.035034
次新,DEV-OOS,157757,46863,0.297058,0.7740244598306142,0.405597573187103,0.7380118072200859,0.3540802718361897,0.723388291002932,0.3451044629856634,0.7052053468960007,0.2995639196293187,0.7606418261043938,0.3864330180989286,0.051517,0.060493,0.106034,0.019165
次新,OOT,27238,8230,0.302151,0.7555808918212092,0.37824185301782504,0.7205246142152191,0.3263713920785125,0.7180667646237588,0.3306001361324873,0.7083141689270183,0.30630989676023085,0.7442604265109581,0.36763037165907764,0.05187,0.047642,0.071932,0.010611
次新,OOT-OOS,44944,13928,0.309897,0.7495346880589471,0.37570053335944753,0.7167288179856242,0.3247957870542738,0.7146419974619462,0.3260918157229109,0.7043217985025461,0.30497742396616695,0.7382275156440352,0.3595852289907771,0.050905,0.049609,0.070723,0.016115
流失户,DEV,2415379,53966,0.022343,0.8790748581905673,0.6051509713056181,0.8748971976971789,0.5871987731771475,0.801678484000195,0.5252168483579865,0.8806714621699342,0.6015339790701899,0.8891173221672087,0.6194423993990944,0.017952,0.079934,0.003617,-0.014291
流失户,DEV-OOS,2312380,61852,0.026748,0.8816033881451841,0.6126809919621071,0.8791734519285318,0.5934184857369227,0.8067664164536578,0.5340900219927991,0.8845390800412284,0.6090699453852543,0.8928071472206076,0.6247340383692732,0.019263,0.078591,0.003611,-0.012053
