segment,final_flag,score_column,n_samples,positive,bad_rate,auc,ks,all_population_auc,all_population_ks,auc_diff_vs_all,ks_diff_vs_all
老户,DEV,model_score,1057723,460536,0.43540321993565423,0.8323340231286784,0.5045414571506083,0.9386036640514402,0.7342545813811397,-0.10626964092276181,-0.22971312423053147
次新,DEV,model_score,126898,36115,0.28459865403710066,0.780741456904118,0.4214395061090255,0.9386036640514402,0.7342545813811397,-0.15786220714732224,-0.3128150752721143
流失户,DEV,model_score,2415379,53966,0.022342663408102828,0.8790748581905673,0.6051509713056181,0.9386036640514402,0.7342545813811397,-0.059528805860872946,-0.12910361007552162
老户,DEV-OOS,model_score,1129863,516185,0.45685627372522153,0.8250610864919233,0.4917636799702959,0.9332566288972678,0.7202751031674597,-0.10819554240534446,-0.22851142319716378
次新,DEV-OOS,model_score,157757,46863,0.29705813371197476,0.7740244598306142,0.40559757318710304,0.9332566288972678,0.7202751031674597,-0.1592321690666536,-0.31467752998035664
流失户,DEV-OOS,model_score,2312380,61852,0.026748198825452565,0.8816033881451841,0.6126809919621071,0.9332566288972678,0.7202751031674597,-0.05165324075208366,-0.10759411120535256
老户,OOT,model_score,309770,127276,0.4108725828840753,0.8062330576032946,0.45925110816722575,0.9363136508774058,0.7356204499371735,-0.13008059327411126,-0.2763693417699477
次新,OOT,model_score,27238,8230,0.30215140612379765,0.7555808918212092,0.37824185301782504,0.9363136508774058,0.7356204499371735,-0.18073275905619657,-0.3573785969193484
流失户,OOT,model_score,862992,18566,0.02151352503847081,0.8842257025945097,0.6186125287211099,0.9363136508774058,0.7356204499371735,-0.05208794828289609,-0.11700792121606352
老户,OOT-OOS,model_score,327473,136403,0.41653204997053195,0.8056980626626029,0.4576265830883519,0.9308758552530936,0.7181498178203969,-0.12517779259049067,-0.260523234732045
次新,OOT-OOS,model_score,44944,13928,0.3098967604129583,0.7495346880589471,0.3757005333594475,0.9308758552530936,0.7181498178203969,-0.1813411671941465,-0.3424492844609494
流失户,OOT-OOS,model_score,827583,21147,0.025552724016805566,0.8930836903820825,0.6377062970451237,0.9308758552530936,0.7181498178203969,-0.037792164871011114,-0.08044352077527317
