feature,in_feather,non_null_rate,dtype
ord_apl_sum_prc_amt_90_day,YES,1.0,str
ord_apl_max_prc_amt_180_day,YES,1.0,str
d360_apl_ord_ddf_mdl_ord_crt_dte_min,YES,0.437091,str
unpaid_principal_future_light_add_heavy,YES,1.0,str
d180_apl_ord_days_cnt_all,YES,0.44796,str
ord_apl_sum_prc_amt_360_day,YES,1.0,str
his_180_day_csh_apl_ord_cnt_his_rto,YES,0.998243,str
dau_90d,YES,1.0,str
his_360_day_csh_apl_ord_cnt,YES,1.0,str
d360_apl_ord_cnt_all,YES,0.44796,str
cnt_event_result_1_uid_recent_days_120,YES,1.0,str
his_360_day_csh_apl_ord_cnt_his_rto,YES,0.998243,str
ddf_lst_app_str_tim_to_mdl_tim_sec,YES,0.314353,str
cnt_other_info_cash_uid_recent_days_30,YES,1.0,str
cnt_avg_ord_span_30d,YES,0.128276,str
d90_aplord_suc_month_cnt,YES,0.264312,str
clk_cnt_14d,YES,1.0,str
rsk_avl_lmt_ch_les_500_cnt_12m,YES,0.450265,str
stg_pln_max_rep_prc_1m_his,YES,1.0,str
m1_stg_pln_d0_rep_apl_cnt,YES,0.389081,str
his_720_day_csh_apl_ord_cnt_his_rto,YES,0.998243,str
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,YES,0.366499,str
first_day_diff_event_result_0_event_type_loan_all,YES,0.611067,str
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,YES,0.484132,str
d360_due_repay_amt_avg_divide_d360_faqi_trade_amt_avg,YES,0.390706,str
18m_used_lmt_second_der_min,YES,0.982108,str
avg_avl_lmt_lft_rep_prc_3m_cash_1m,YES,0.308962,str
stg_pln_sum_prc_amt_6m_12m_ftr_rto_cash,YES,0.22628,str
ord_apl_min_prc_amt_his,YES,1.0,str
ord_apl_cnt_07_12,YES,1.0,str
cnt_avg_ord_span_30d_90d,YES,0.202004,str
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,YES,1.0,str
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,YES,0.996428,str
m1_rep_apl_suc_amt_avg,YES,0.39138,str
min_rsk_avl_lmt_3m_bt_ch,YES,0.370795,str
sum_talk_duration_30d,YES,0.078236,str
ord_apl_fal_cnt_his,YES,1.0,str
rsk_avl_lmt_ch_les_10000_cnt_3m,YES,0.265374,str
