feature,non_null_rate,unique_count,drop_reason
ord_apl_sum_prc_amt_90_day,1.0,8792,
ord_apl_max_prc_amt_180_day,1.0,5604,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,0.4370071875,360,
unpaid_principal_future_light_add_heavy,1.0,1600205,
d180_apl_ord_days_cnt_all,0.4479340625,181,
ord_apl_sum_prc_amt_360_day,1.0,27205,
his_180_day_csh_apl_ord_cnt_his_rto,0.9983103125,7356,
dau_90d,1.0,91,
his_360_day_csh_apl_ord_cnt,1.0,238,
d360_apl_ord_cnt_all,0.4479340625,2470,
cnt_event_result_1_uid_recent_days_120,1.0,752,
his_360_day_csh_apl_ord_cnt_his_rto,0.9983103125,9603,
ddf_lst_app_str_tim_to_mdl_tim_sec,0.31395927083333336,1637416,
cnt_other_info_cash_uid_recent_days_30,1.0,74,
cnt_avg_ord_span_30d,0.12825697916666667,4908,
d90_aplord_suc_month_cnt,0.26403229166666664,5,
clk_cnt_14d,1.0,1408,
rsk_avl_lmt_ch_les_500_cnt_12m,0.450194375,136,
stg_pln_max_rep_prc_1m_his,1.0,300570,
m1_stg_pln_d0_rep_apl_cnt,0.389053125,387,
his_720_day_csh_apl_ord_cnt_his_rto,0.9983103125,10434,
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,0.36642604166666665,11796,
first_day_diff_event_result_0_event_type_loan_all,0.6114692708333334,3411,
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,0.4838458333333333,2284392,
d360_due_repay_amt_avg_divide_d360_faqi_trade_amt_avg,0.3906796875,2829731,
18m_used_lmt_second_der_min,0.9819122916666667,4340397,
avg_avl_lmt_lft_rep_prc_3m_cash_1m,0.30907083333333335,2546431,
stg_pln_sum_prc_amt_6m_12m_ftr_rto_cash,0.226444375,1628614,
ord_apl_min_prc_amt_his,1.0,123284,
ord_apl_cnt_07_12,1.0,266,
cnt_avg_ord_span_30d_90d,0.20127229166666666,8462,
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,1.0,1215,
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,0.9965209375,3448229,
m1_rep_apl_suc_amt_avg,0.3913447916666667,1498802,
min_rsk_avl_lmt_3m_bt_ch,0.3705525,1300372,
sum_talk_duration_30d,0.07823791666666667,3426,
ord_apl_fal_cnt_his,1.0,339,
rsk_avl_lmt_ch_les_10000_cnt_3m,0.26507114583333335,78,
sum_talk_duration_180d,0.1608975,6864,
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,0.7206726041666667,50566,
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_max,0.1718803125,160477,
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,0.5705233333333334,240214,
d360_apl_ord_prc_amt_min,0.4370071875,6778,
d360_apl_ord_ddf_mdl_ord_crt_dte_max,0.4370071875,360,
lag_his_rep_amt_sum_per_mth_btch_rat_max,0.3886025,2233533,
6m_used_lmt_first_der_min,0.9990894791666667,3716160,
6m_used_lmt_second_der_min,0.9819079166666667,3420275,
credit_fund_level2_reject_cnt_36m,0.37236447916666665,59,
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,0.6276210416666667,3378040,
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,0.5845940625,1585571,
stg_pln_cnt_3m_ftr_adv_rto_all,0.359099375,5696,
max_amt_other_info_manual_repay,0.901993125,740609,
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,0.2110596875,1692607,
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,0.43224291666666664,2476430,
stg_pln_pay_off_sum_prc_amt_1m_3m_rto,0.34818895833333335,2059703,
d60_d90_apl_ord_cnt_rat_all,0.4479340625,7372,
12m_used_lmt_second_der_sum,0.9819109375,4250952,
