feature,gain,split
ord_apl_sum_prc_amt_90_day,5426063.174094677,204
unpaid_principal_future_light_add_heavy,1985538.4991669059,445
ord_apl_max_prc_amt_180_day,1820451.8615897894,340
d360_apl_ord_ddf_mdl_ord_crt_dte_min,1086284.38124118,969
his_360_day_csh_apl_ord_cnt,1068670.7772138119,224
d180_apl_ord_days_cnt_all,870015.2965131998,220
cnt_event_result_1_uid_recent_days_120,637491.652274847,347
his_360_day_csh_apl_ord_cnt_his_rto,289071.58743691444,173
cnt_other_info_cash_uid_recent_days_30,249303.48154640198,197
dau_90d,200764.36329841614,602
cnt_avg_ord_span_30d,158264.69737768173,422
his_180_day_csh_apl_ord_cnt_his_rto,157546.80192279816,242
stg_pln_max_rep_prc_1m_his,116375.38939905167,353
ddf_lst_app_str_tim_to_mdl_tim_sec,112144.53381443024,791
ord_apl_sum_prc_amt_360_day,105323.06524538994,280
his_720_day_csh_apl_ord_cnt_his_rto,103141.26480031013,241
clk_cnt_14d,93204.88722586632,457
m1_stg_pln_d0_rep_apl_cnt,71600.70987701416,205
avg_avl_lmt_lft_rep_prc_3m_cash_1m,69029.24296045303,463
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,67703.98979496956,934
rsk_avl_lmt_ch_les_10000_cnt_3m,67241.36401772499,137
d90_aplord_suc_month_cnt,59924.81813406944,139
sum_avb_lmt_2m_v2,51414.74306333065,827
first_day_diff_event_result_0_event_type_loan_all,49949.95290493965,704
rsk_avl_lmt_ch_les_500_cnt_12m,48223.09010195732,251
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,42446.76198720932,269
stg_pln_sum_prc_amt_6m_12m_ftr_rto_cash,38597.612080812454,392
stg_pln_cnt_3m_ftr_adv_rto_all,30283.591733694077,198
6m_used_lmt_first_der_max,30022.133444935083,322
d30_d90_suc_ord_prc_amt_avg_rat_all,29020.100348949432,268
min_rsk_lmt_rate_12m_bt_ch,22684.751644015312,293
ord_apl_fal_cnt_his,22269.602194547653,289
ord_apl_min_prc_amt_his,19686.777896165848,246
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,19164.02752250433,340
d30_d360_suc_ord_prc_amt_avg_rat_all,18838.362467765808,316
6m_used_lmt_first_der_min,18557.330824136734,289
d60_d90_apl_ord_cnt_rat_all,18040.93372774124,137
d360_apl_ord_cnt_all,17990.87285900116,142
min_rsk_avl_lmt_3m_bt_ch,17899.784970641136,322
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,17791.392571270466,315
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,17602.674240112305,353
lag_his_rep_amt_sum_per_mth_btch_rat_max,17148.291272878647,224
18m_used_lmt_second_der_min,16804.377244591713,311
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,14272.090743899345,295
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,14158.158311009407,386
d15_d360_apl_ord_prc_amt_avg_rat,13648.386022090912,311
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,13201.130914270878,277
d360_apl_ord_ddf_mdl_ord_crt_dte_max,13000.730400323868,264
max_amt_other_info_manual_repay,12997.632820636034,403
sum_talk_duration_180d,12307.23012638092,212
his_max_faqi_prc_amt_divide_unpaid_principal_tot,12212.317282676697,270
sum_talk_duration_30d,12036.099518299103,218
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,11772.839224100113,107
cnt_avg_ord_span_30d_90d,11028.038385212421,318
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,10765.600821256638,221
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,10715.485857576132,310
m1_rep_apl_suc_amt_avg,10636.59936785698,413
div_amt_event_type_repay_loan,10283.392439872026,489
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,9652.828641653061,275
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,8927.119082212448,146
min_ddf_mdl_rep_dte_his_bjq,8873.012878894806,138
ddf_36m_rep_dte_neg_5_crt_dt_rep_prc_amt_rto,8837.687652349472,282
