model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v2,1,20150,3,0.0001488833746898263
1,gcard_v2,2,10936,1,9.1441111923921e-05
1,gcard_v2,3,7295,8,0.0010966415352981493
1,gcard_v2,4,5249,9,0.0017146123071061154
1,gcard_v2,5,3618,8,0.002211166390270868
1,gcard_v2,6,1484,7,0.0047169811320754715
1,gcard_v2,7,224,1,0.004464285714285714
1,gcard_v2,8,2,0,0.0
2,gcard_v2,1,13009,11,0.0008455684526097317
2,gcard_v2,2,11085,11,0.0009923319801533603
2,gcard_v2,3,9274,13,0.0014017683847315074
2,gcard_v2,4,7132,17,0.0023836231071228267
2,gcard_v2,5,4915,34,0.006917599186164801
2,gcard_v2,6,2883,26,0.009018383628165106
2,gcard_v2,7,657,11,0.0167427701674277
2,gcard_v2,8,3,0,0.0
3,gcard_v2,1,9153,9,0.0009832841691248771
3,gcard_v2,2,10783,12,0.0011128628396550125
3,gcard_v2,3,10052,20,0.0019896538002387586
3,gcard_v2,4,8268,22,0.002660861151427189
3,gcard_v2,5,6048,24,0.003968253968253968
3,gcard_v2,6,3804,57,0.01498422712933754
3,gcard_v2,7,838,16,0.01909307875894988
3,gcard_v2,8,12,0,0.0
4,gcard_v2,1,4601,12,0.002608128667680939
4,gcard_v2,2,9579,30,0.0031318509238960224
4,gcard_v2,3,10684,24,0.0022463496817671283
4,gcard_v2,4,9913,45,0.00453949359427015
4,gcard_v2,5,7658,70,0.009140767824497258
4,gcard_v2,6,5089,78,0.015327176262527019
4,gcard_v2,7,1387,32,0.023071377072819033
4,gcard_v2,8,46,0,0.0
5,gcard_v2,1,1822,7,0.0038419319429198683
5,gcard_v2,2,5541,26,0.004692293809781628
5,gcard_v2,3,8914,55,0.006170069553511331
5,gcard_v2,4,11150,82,0.0073542600896860984
5,gcard_v2,5,10788,115,0.010659992584352984
5,gcard_v2,6,7758,136,0.017530291312193864
5,gcard_v2,7,2809,72,0.025631897472410112
5,gcard_v2,8,175,3,0.017142857142857144
5,gcard_v2,9,1,0,0.0
6,gcard_v2,1,220,5,0.022727272727272728
6,gcard_v2,2,1028,17,0.016536964980544747
6,gcard_v2,3,2694,46,0.017074981440237565
6,gcard_v2,4,6857,129,0.01881289193524865
6,gcard_v2,5,13381,287,0.02144832224796353
6,gcard_v2,6,15224,448,0.029427220178665267
6,gcard_v2,7,7967,275,0.0345173842098657
6,gcard_v2,8,1537,57,0.03708523096942095
6,gcard_v2,9,50,1,0.02
7,gcard_v2,1,3,0,0.0
7,gcard_v2,2,6,0,0.0
7,gcard_v2,3,36,3,0.08333333333333333
7,gcard_v2,4,374,25,0.06684491978609626
7,gcard_v2,5,2428,143,0.05889621087314662
7,gcard_v2,6,11723,820,0.06994796553783161
7,gcard_v2,7,23154,1868,0.0806772048026259
7,gcard_v2,8,10103,935,0.09254676828664753
7,gcard_v2,9,1087,115,0.10579576816927323
7,gcard_v2,10,43,9,0.20930232558139536
8,gcard_v2,3,9,0,0.0
8,gcard_v2,4,14,1,0.07142857142857142
8,gcard_v2,5,117,18,0.15384615384615385
8,gcard_v2,6,922,180,0.19522776572668113
8,gcard_v2,7,11235,2175,0.19359145527369825
8,gcard_v2,8,26672,5487,0.20572135572885422
8,gcard_v2,9,9543,2038,0.21355967725034056
8,gcard_v2,10,446,100,0.2242152466367713
9,gcard_v2,5,5,1,0.2
9,gcard_v2,6,66,25,0.3787878787878788
9,gcard_v2,7,653,249,0.38131699846860645
9,gcard_v2,8,9968,4115,0.4128210272873194
9,gcard_v2,9,29147,12902,0.44265276014684185
9,gcard_v2,10,9119,4122,0.4520232481631758
10,gcard_v2,6,5,3,0.6
10,gcard_v2,7,34,21,0.6176470588235294
10,gcard_v2,8,439,307,0.6993166287015945
10,gcard_v2,9,9130,6611,0.7240963855421687
10,gcard_v2,10,39350,32033,0.8140533672172808
