decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48975,0.1000014293210929,37,0.0007554874936191935,37,0.0007554874936191935,0.004820212764464684,76722,0.17406436038913894,1.1105772880060718
2,48974,0.09999938743381732,123,0.0025115367337771063,160,0.0016335031495982603,0.010422188056041648,76599,0.19550835387984503,1.247395715866243
3,48974,0.09999938743381732,160,0.003267039653693797,320,0.002178011611524404,0.013896298032319288,76439,0.222971238550843,1.422616283192922
4,48974,0.09999938743381732,293,0.005982766365826765,613,0.0031291954445448376,0.019965105910677867,76146,0.25913573776740195,1.6533554843265381
5,48975,0.1000014293210929,495,0.01010719754977029,1108,0.004524812963507465,0.028869519863299893,75651,0.3089422593937216,1.9711344460227387
6,48974,0.09999938743381732,1269,0.025911708253358926,2377,0.008089271250927357,0.05161171941066086,74382,0.3796995359806429,2.422584841513933
7,48974,0.09999938743381732,3926,0.08016498550251154,6303,0.018385741788693774,0.11730596204771108,70456,0.47954370656738565,3.059617419265899
8,48974,0.09999938743381732,10023,0.2046596153060808,16326,0.041669857118792016,0.26586486060173475,60433,0.616984348997948,3.9365255674422808
9,48974,0.09999938743381732,21436,0.4377016376036264,37762,0.08567318861623348,0.5466179133714617,38997,0.7962633996937213,5.080373977725116
10,48975,0.1000014293210929,38997,0.7962633996937213,76759,0.15673322538555937,1.0,0,0.0,0.0
