decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,20,0.0006112282631948902,20,0.0006112282631948902,0.02551957941287279,7817,0.026544735876991618,1.1082774406827922
2,32720,0.09999847190599166,48,0.001466992665036675,68,0.0010391039256735075,0.04338394793926247,7769,0.029679405877049557,1.2391540130151846
3,32721,0.10000152809400835,92,0.0028116500106964946,160,0.0016299586397995152,0.06805290503197657,7677,0.03351772374619613,1.3994088041819708
4,32720,0.09999847190599166,94,0.0028728606356968217,254,0.0019406793905961096,0.08102590276891668,7583,0.0386251228842265,1.6126493981540555
5,32721,0.10000152809400835,157,0.004798141866079887,411,0.002512178872025574,0.10488675358187163,7426,0.045390643146171805,1.8951187177036042
6,32720,0.09999847190599166,206,0.006295843520782396,617,0.003142780010492912,0.13121517587512227,7220,0.0551641937011965,2.3031772361873166
7,32720,0.09999847190599166,303,0.00926039119804401,920,0.004016713018952773,0.16770302199393164,6917,0.07046514944683278,2.9420121506636367
8,32721,0.10000152809400835,488,0.01491396962195532,1408,0.005378890909368744,0.22457573050912338,6429,0.09824116379639676,4.1016970779635065
9,32720,0.09999847190599166,1015,0.03102078239608802,2423,0.00822795126390568,0.3435277265926066,5414,0.16545949084685677,6.908150147064664
10,32721,0.10000152809400835,5414,0.16545949084685677,7837,0.023951345486774345,1.0,0,0.0,0.0
