decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,966,0.059431524547803614,966,0.059431524547803614,0.14015671537318858,67956,0.46454841267671104,1.0955394489371646
2,16254,0.1000012304814874,1897,0.11670973298880276,2863,0.08807062876830318,0.20769600212910916,66059,0.5080289164039068,1.1980790460877253
3,16254,0.1000012304814874,2797,0.1720807185923465,5660,0.1160739920429843,0.2737360279545367,63262,0.5560223597243706,1.3112614594016387
4,16253,0.09999507807405038,3805,0.23411062573063435,9465,0.14558178881796507,0.3433239428759236,59457,0.6096715646565426,1.4377817935658443
5,16254,0.1000012304814874,5233,0.3219515196259382,14698,0.1808561690189371,0.42651112852209744,54224,0.6672162817310413,1.5734888714779023
6,16254,0.1000012304814874,6749,0.4152208687092408,21447,0.2199173528295889,0.5186286917706352,47475,0.7302161039760056,1.7220606643459562
7,16253,0.09999507807405038,8749,0.5383006214237371,30196,0.26539867810434536,0.6258868045286569,38726,0.7941839957343834,1.8729154449765706
8,16254,0.1000012304814874,10673,0.6566383659406915,40869,0.3143043912943167,0.7412206139142167,28053,0.8629568106312292,2.035101623376842
9,16254,0.1000012304814874,12910,0.7942660268241664,53779,0.36763419102567607,0.8669876982811198,15143,0.9316475944382921,2.197094348753825
10,16254,0.1000012304814874,15143,0.9316475944382921,68922,0.42403622537498925,1.0,0,0.0,0.0
