split,metric,baseline_score,uplift
DEV,auc,gcard_v2,0.020909
DEV,ks,gcard_v2,0.044861
DEV,auc,gcard_v4,0.025241
DEV,ks,gcard_v4,0.050726
DEV,auc,gcard_v5,0.023746
DEV,ks,gcard_v5,0.04923
DEV,auc,gcard_v6,0.013389
DEV,ks,gcard_v6,0.02809
DEV-OOS,auc,gcard_v2,0.006924
DEV-OOS,ks,gcard_v2,0.014686
DEV-OOS,auc,gcard_v4,0.011371
DEV-OOS,ks,gcard_v4,0.024631
DEV-OOS,auc,gcard_v5,0.009606
DEV-OOS,ks,gcard_v5,0.017914
DEV-OOS,auc,gcard_v6,-0.000707
DEV-OOS,ks,gcard_v6,-0.001179
OOT,auc,gcard_v2,0.006029
OOT,ks,gcard_v2,0.015136
OOT,auc,gcard_v4,0.011446
OOT,ks,gcard_v4,0.022958
OOT,auc,gcard_v5,0.006945
OOT,ks,gcard_v5,0.017917
OOT,auc,gcard_v6,-0.001266
OOT,ks,gcard_v6,-0.00112
OOT-OOS,auc,gcard_v2,0.008616
OOT-OOS,ks,gcard_v2,0.019524
OOT-OOS,auc,gcard_v4,0.012645
OOT-OOS,ks,gcard_v4,0.031809
OOT-OOS,auc,gcard_v5,0.009449
OOT-OOS,ks,gcard_v5,0.027202
OOT-OOS,auc,gcard_v6,0.000216
OOT-OOS,ks,gcard_v6,0.003841
