intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,162,0.000331,0,0.0
低意愿,2,427,0.000872,2,0.004684
低意愿,3,1982,0.004047,4,0.002018
低意愿,4,3737,0.007631,2,0.000535
低意愿,5,10214,0.020856,22,0.002154
低意愿,6,79739,0.162818,201,0.002521
低意愿,7,66987,0.13678,179,0.002672
中意愿,1,4017,0.008202,141,0.035101
中意愿,2,12767,0.026069,431,0.033759
中意愿,3,23001,0.046965,755,0.032825
中意愿,4,18867,0.038524,579,0.030689
中意愿,5,34251,0.069937,687,0.020058
中意愿,6,61358,0.125286,1266,0.020633
中意愿,7,8986,0.018348,246,0.027376
高意愿,1,7292,0.014889,2980,0.408667
高意愿,2,24203,0.04942,10554,0.436062
高意愿,3,35105,0.07168,14855,0.423159
高意愿,4,40556,0.082811,18456,0.455074
高意愿,5,9715,0.019837,3953,0.406897
高意愿,6,36759,0.075058,16613,0.451944
高意愿,7,9618,0.019639,4833,0.502495
