intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,39,0.000119,0,0.0
低意愿,2,121,0.00037,0,0.0
低意愿,3,694,0.002121,1,0.001441
低意愿,4,1836,0.005611,0,0.0
低意愿,5,4228,0.012922,3,0.00071
低意愿,6,48332,0.147712,77,0.001593
低意愿,7,53819,0.164481,103,0.001914
中意愿,1,254,0.000776,0,0.0
中意愿,2,1423,0.004349,6,0.004216
中意愿,3,4980,0.01522,20,0.004016
中意愿,4,5921,0.018096,24,0.004053
中意愿,5,17514,0.053526,82,0.004682
中意愿,6,60615,0.185251,336,0.005543
中意愿,7,18360,0.056112,141,0.00768
高意愿,1,4918,0.01503,434,0.088247
高意愿,2,11835,0.03617,838,0.070807
高意愿,3,17350,0.053025,1048,0.060403
高意愿,4,11293,0.034514,579,0.051271
高意愿,5,24742,0.075616,1321,0.053391
高意愿,6,34055,0.104078,2264,0.066481
高意愿,7,4876,0.014902,560,0.114848
