intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,1642,0.010102,203,0.12363
低意愿,2,7724,0.047521,893,0.115614
低意愿,3,14307,0.088022,1728,0.12078
低意愿,4,15860,0.097577,2019,0.127301
低意愿,5,2611,0.016064,352,0.134814
低意愿,6,10619,0.065332,1436,0.135229
低意愿,7,1416,0.008712,158,0.111582
中意愿,1,2435,0.014981,851,0.349487
中意愿,2,8238,0.050684,2964,0.359796
中意愿,3,11636,0.071589,4239,0.3643
中意愿,4,13951,0.085832,5309,0.380546
中意愿,5,2571,0.015818,971,0.377674
中意愿,6,12253,0.075385,4772,0.389456
中意愿,7,3095,0.019042,1196,0.38643
高意愿,1,2183,0.013431,1633,0.748053
高意愿,2,8056,0.049564,6286,0.780288
高意愿,3,11121,0.068421,8578,0.771334
高意愿,4,14299,0.087973,11106,0.776698
高意愿,5,2514,0.015467,1933,0.768894
高意愿,6,11982,0.073718,9195,0.767401
高意愿,7,4025,0.024763,3100,0.770186
