intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,162,0,0.0
低意愿,2,427,0,0.0
低意愿,3,1982,0,0.0
低意愿,4,3737,0,0.0
低意愿,5,10214,1,9.8e-05
低意愿,6,79739,1,1.3e-05
低意愿,7,66987,1,1.5e-05
中意愿,1,4017,0,0.0
中意愿,2,12767,9,0.000705
中意愿,3,23001,15,0.000652
中意愿,4,18867,14,0.000742
中意愿,5,34251,12,0.00035
中意愿,6,61358,12,0.000196
中意愿,7,8986,0,0.0
高意愿,1,7292,63,0.00864
高意愿,2,24203,344,0.014213
高意愿,3,35105,476,0.013559
高意愿,4,40556,571,0.014079
高意愿,5,9715,115,0.011837
高意愿,6,36759,432,0.011752
高意愿,7,9618,86,0.008942
