intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,1642,2,0.001218
低意愿,2,7724,15,0.001942
低意愿,3,14307,29,0.002027
低意愿,4,15860,44,0.002774
低意愿,5,2611,12,0.004596
低意愿,6,10619,24,0.00226
低意愿,7,1416,0,0.0
中意愿,1,2435,15,0.00616
中意愿,2,8238,67,0.008133
中意愿,3,11636,113,0.009711
中意愿,4,13951,95,0.00681
中意愿,5,2571,19,0.00739
中意愿,6,12253,110,0.008977
中意愿,7,3095,19,0.006139
高意愿,1,2183,41,0.018781
高意愿,2,8056,259,0.03215
高意愿,3,11121,334,0.030033
高意愿,4,14299,442,0.030911
高意愿,5,2514,80,0.031822
高意愿,6,11982,293,0.024453
高意愿,7,4025,66,0.016398
