table_index,full_table_name,feature_name,feature_type,feature_comment,ordinal
1,local_feather,uid,string,,1
1,local_feather,mdl_dte,date32[day],,2
1,local_feather,ds,string,,3
1,local_feather,blue_customer_flag,string,,4
1,local_feather,ftr_30d_ord_flag,int32,,5
1,local_feather,ftr_30d_ord_amt,double,,6
1,local_feather,prc_amt_xz_30d_3m,double,,7
1,local_feather,ovd_amt_xz_30d_3m,double,,8
1,local_feather,final_flag,string,,9
1,local_feather,zc_level,int32,,10
1,local_feather,gcard_v2,string,,11
1,local_feather,gcard_v4,string,,12
1,local_feather,gcard_v5,float,,13
1,local_feather,gcard_v6,string,,14
1,local_feather,rand_flag0,double,,15
1,local_feather,rand_flag1,double,,16
1,local_feather,rand_flag2,double,,17
1,local_feather,rand_flag3,double,,18
1,local_feather,rand_flag4,double,,19
1,local_feather,rand_flag5,double,,20
1,local_feather,max_ctn_ovd_day,float,,21
1,local_feather,not_ovd_tqhk_rep_tim_cnt_12m,float,,22
1,local_feather,ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,float,,23
1,local_feather,ddf_mdl_max_con_not_ovd_tqhk_rep_tim_12m,float,,24
1,local_feather,max_con_not_ovd_tqhk_rep_tim_cnt_5m,float,,25
1,local_feather,max_con_not_ovd_tqhk_rep_tim_cnt_12m,float,,26
1,local_feather,not_ovd_tqhk_rep_tim_cnt_3m,float,,27
1,local_feather,lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,float,,28
1,local_feather,d30_d60_his_rep_amt_sum_rat_btch,float,,29
1,local_feather,d90_d360_his_rep_amt_sum_rat_btch,float,,30
1,local_feather,lag_his_rep_amt_sum_per_mth_all_rat_max,float,,31
1,local_feather,lag_his_rep_amt_sum_per_mth_btch_rat_max,float,,32
1,local_feather,m6_up_flg_btch_cnt_rat,float,,33
1,local_feather,d30_d180_his_rep_amt_sum_rat_all,float,,34
1,local_feather,d30_his_rep_amt_sum_btch,float,,35
1,local_feather,d180_d360_his_rep_amt_sum_rat_all,float,,36
1,local_feather,min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,float,,37
1,local_feather,rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,float,,38
1,local_feather,rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,float,,39
1,local_feather,rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,float,,40
1,local_feather,min_rsk_avl_lmt_bjq_12m_all,float,,41
1,local_feather,max_rsk_lmt_rate_bjq_12m_all,float,,42
1,local_feather,min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,float,,43
1,local_feather,rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,float,,44
1,local_feather,rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,float,,45
1,local_feather,rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,float,,46
1,local_feather,min_rsk_lmt_rate_bjq_12m_all,float,,47
1,local_feather,avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,float,,48
1,local_feather,rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,float,,49
