feature,gain,split
d180_apl_ord_days_cnt,349990.40912246704,94
first_day_diff_event_result_1_all,231585.49417495728,174
d360_apl_ord_ddf_mdl_ord_crt_dte_min,198559.50311422348,185
his_360_day_csh_apl_ord_cnt_his_rto,76384.47971665859,75
d180_apl_ord_days_cnt_all,28197.877856254578,26
dau_90d,14153.376046270132,171
d30_apl_ord_days_cnt,10745.137148857117,75
payment_day_6m,7557.247056484222,19
ddf_lst_app_str_tim_to_mdl_tim_sec,7285.933284044266,272
ord_apl_avg_prc_amt_720_day_per_mth,7073.502162694931,81
first_day_diff_event_result_0_event_type_loan_all,5844.788953781128,128
clk_cnt_14d,5529.620382666588,119
cnt_avg_ord_span_30d,5266.330351829529,38
d180_apl_ord_cnt_all,5129.877136707306,13
6m_used_lmt_second_der_min,4717.327477455139,40
pst_ord_apl_suc_max_prc_amt_180_day,4159.534133434296,22
d180_apl_ord_ddf_mdl_ord_crt_dte_max,3703.593391060829,88
rsk_avl_lmt_ch_les_10000_cnt_12m,3504.282603263855,85
d180_suc_ord_days_cnt_all,3448.440800189972,10
avg_avl_lmt_lft_rep_prc_3m_cash_1m,3156.148627758026,69
his_30d_app_str_ctn_v2,3029.098952293396,122
min_rsk_lmt_rate_12m_bt_ch,2919.814189195633,82
rsi_abf_1y_inter_1m,2727.8124618530273,56
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,2702.023700237274,150
d30_d60_apl_ord_cnt_rat,2469.8684344291687,15
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,2467.609528541565,102
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,2289.5707478523254,26
sum_avb_lmt_2m_v2,2141.0015845298767,111
d90_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,1966.2356872558594,41
ord_apl_fal_cnt_his,1550.1859955787659,87
d60_apl_ord_ddf_mdl_ord_crt_dte_max,1473.706184387207,54
stg_pln_sum_prc_amt_6m_12m_rto_ftr,1472.1756516695023,52
max_amt_other_info_manual_repay,1375.915637254715,82
d90_bsy_typ_bt_cash_suc_ord_cnt_all,1358.5948190689087,39
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,1357.0987203121185,43
ddf_ato_fst_ord_crt_dte,1320.6968153715134,112
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,1304.4166526794434,34
per_event_type_limit_all,1288.448501586914,115
first_amt_event_type_credit_all,1271.5829476714134,93
d60_apl_ord_prc_amt_avg,1163.0278296470642,44
d90_apl_ord_prc_amt_per_stg_sum,1156.6102757453918,34
pmt_crd_amt_1m,1144.5020372867584,42
d7_d360_suc_ord_prc_amt_avg_rat_all,1138.5496220588684,60
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,1066.0118293762207,54
max_ddf_mdl_rep_dte_ftr,1054.1621292829514,76
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,1052.5907199382782,90
min_ddf_lag_crt_tim_mnt,1035.1185011863708,105
max_avl_lmt_lft_rep_prc_1m_cash_3m,1018.4440084695816,55
ddf_fst_adt_fst_ord_crt_dte_mnt,1012.9094257354736,102
d90_aplord_suc_month_cnt,999.3496942520142,13
min_ddf_suc_lag_crt_tim_mnt,972.4482123851776,73
d360_apl_ord_ddf_mdl_ord_crt_dte_max,970.7173833847046,63
d1080_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,969.0488407313824,85
d365_aplord_suc_month_cnt,956.2351408004761,16
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,947.3732299804688,44
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,942.9303194284439,78
min_rsk_lmt_rate_3m_bt_ch,937.4777790307999,32
rsk_avl_lmt_ch_les_1000_cnt_3m,931.5967636108398,18
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,928.8461683988571,68
rsk_avl_lmt_ch_les_500_cnt_12m,928.4115009307861,23
stg_pln_cnt_1m_ftr_his_rep_rto_all,912.1831068992615,45
af_q2_q1_trend,901.3668775558472,50
m1_stg_pln_d0_rep_apl_cnt,897.8832383155823,18
rsk_avl_lmt_ch_1m_les_500_cnt_3m,897.2592172622681,29
9m_ftr_con_dsc_repay_amt_max,891.0415816307068,18
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,886.1296465396881,59
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,866.5081586837769,41
rsk_lmt_rate_ch_1m_grt_0p9_rate_12m,865.4218852519989,50
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,854.3871459960938,23
ftr_pending_repay_gurantee_fee_sum_divide_ftr_principal_sum,847.6008324623108,56
ord_apl_min_prc_amt_his,846.7030992507935,49
d90_max_due_prc_amt_divide_d90_max_faqi_prc_amt,839.3368620872498,26
12m_used_lmt_second_der_sum,821.8304510116577,74
af_6m_trend,789.4905743598938,48
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,788.9837102890015,33
percent_true_followup_code_other_call_mode_manual_30d,787.4401183128357,37
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,785.4807922840118,68
ord_apl_fal_cnt_360_day,782.2418146133423,17
ddf_mdl_max_con_dau_dt_90d,773.0327997207642,58
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,767.4302363395691,79
n_unique_other_info_event_type_credit,755.9486536979675,33
redu_amt_event_type_repay_loan,754.0940120220184,61
min_amt_event_type_credit_event_result_1,741.9448665380478,69
m6_stg_pln_rep_apl_cnt_his_ovd_avg,726.2310361862183,41
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,717.8430323600769,24
