model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v2,1,20620,5,0.00024248302618816683
1,gcard_v2,2,10761,3,0.00027878449958182325
1,gcard_v2,3,7135,11,0.0015416958654519972
1,gcard_v2,4,5187,9,0.001735106998264893
1,gcard_v2,5,3636,14,0.0038503850385038503
1,gcard_v2,6,1409,9,0.0063875088715401
1,gcard_v2,7,209,2,0.009569377990430622
1,gcard_v2,8,1,0,0.0
2,gcard_v2,1,12755,11,0.0008624068992551941
2,gcard_v2,2,11211,10,0.000891981090000892
2,gcard_v2,3,9230,12,0.0013001083423618636
2,gcard_v2,4,7216,18,0.0024944567627494456
2,gcard_v2,5,4946,29,0.005863323898099474
2,gcard_v2,6,2959,33,0.011152416356877323
2,gcard_v2,7,637,14,0.02197802197802198
2,gcard_v2,8,4,0,0.0
3,gcard_v2,1,9096,11,0.0012093227792436235
3,gcard_v2,2,10885,13,0.0011943040881947635
3,gcard_v2,3,10181,18,0.0017679992142225715
3,gcard_v2,4,8143,28,0.003438536166032175
3,gcard_v2,5,5953,30,0.005039475894506971
3,gcard_v2,6,3855,60,0.01556420233463035
3,gcard_v2,7,835,14,0.016766467065868262
3,gcard_v2,8,10,0,0.0
4,gcard_v2,1,4358,9,0.002065167508031207
4,gcard_v2,2,9626,31,0.003220444629129441
4,gcard_v2,3,10818,28,0.00258827879460159
4,gcard_v2,4,9949,42,0.0042215298019901495
4,gcard_v2,5,7672,61,0.007950990615224193
4,gcard_v2,6,5095,80,0.015701668302257114
4,gcard_v2,7,1396,32,0.022922636103151862
4,gcard_v2,8,43,0,0.0
5,gcard_v2,1,1883,8,0.004248539564524694
5,gcard_v2,2,5554,25,0.004501260352898812
5,gcard_v2,3,8918,51,0.005718771024893474
5,gcard_v2,4,11266,81,0.007189774542872359
5,gcard_v2,5,10816,127,0.011741863905325443
5,gcard_v2,6,7629,131,0.017171319963297942
5,gcard_v2,7,2727,70,0.02566923359002567
5,gcard_v2,8,164,3,0.018292682926829267
5,gcard_v2,9,1,0,0.0
6,gcard_v2,1,244,3,0.012295081967213115
6,gcard_v2,2,915,15,0.01639344262295082
6,gcard_v2,3,2627,48,0.018271792919680244
6,gcard_v2,4,6812,132,0.019377568995889608
6,gcard_v2,5,13395,290,0.021649869354236656
6,gcard_v2,6,15300,459,0.03
6,gcard_v2,7,8077,287,0.03553299492385787
6,gcard_v2,8,1538,61,0.03966189856957087
6,gcard_v2,9,49,3,0.061224489795918366
6,gcard_v2,10,1,0,0.0
7,gcard_v2,1,2,0,0.0
7,gcard_v2,2,6,0,0.0
7,gcard_v2,3,41,1,0.024390243902439025
7,gcard_v2,4,372,20,0.053763440860215055
7,gcard_v2,5,2421,136,0.05617513424204874
7,gcard_v2,6,11738,818,0.06968819219628557
7,gcard_v2,7,23132,1908,0.08248314023863047
7,gcard_v2,8,10153,1008,0.09928100068945139
7,gcard_v2,9,1050,132,0.12571428571428572
7,gcard_v2,10,42,6,0.14285714285714285
8,gcard_v2,3,8,0,0.0
8,gcard_v2,4,12,0,0.0
8,gcard_v2,5,113,12,0.10619469026548672
8,gcard_v2,6,901,165,0.18312985571587126
8,gcard_v2,7,11257,2141,0.19019276894376833
8,gcard_v2,8,26723,5511,0.20622684578827227
8,gcard_v2,9,9462,2040,0.21559923906150918
8,gcard_v2,10,482,113,0.23443983402489627
9,gcard_v2,5,6,1,0.16666666666666666
9,gcard_v2,6,67,21,0.31343283582089554
9,gcard_v2,7,655,230,0.3511450381679389
9,gcard_v2,8,9905,4033,0.4071680969207471
9,gcard_v2,9,29136,12866,0.44158429434376717
9,gcard_v2,10,9189,4276,0.46533899227337033
10,gcard_v2,6,5,4,0.8
10,gcard_v2,7,33,22,0.6666666666666666
10,gcard_v2,8,416,288,0.6923076923076923
10,gcard_v2,9,9260,6626,0.7155507559395249
10,gcard_v2,10,39244,31869,0.8120731831617573
