decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,49465,0.10100195408612272,42,0.000849085211765895,42,0.000849085211765895,0.005417391300901063,76717,0.1742467259322519,1.1117408290655018
2,48644,0.09932556463287888,95,0.0019529643943754626,137,0.001396406038182022,0.008909444916653134,76622,0.1956469560865502,1.2482800351059204
3,48814,0.09967268546972596,160,0.003277748186995534,297,0.0020214670269460876,0.012897501611246339,76462,0.22303832915232483,1.4230443392181635
4,48974,0.09999938743381732,320,0.006534079307387594,617,0.0031496143381470874,0.020095383926408226,76142,0.25912212519482997,1.6532686324638364
5,48975,0.1000014293210929,717,0.014640122511485451,1334,0.005447744127544186,0.034758068138666116,75425,0.30801932446063435,1.9652458736998195
6,48974,0.09999938743381732,1989,0.04061338669498101,3323,0.011308644664211866,0.0721521849396828,73436,0.37487046764371074,2.3917740907937026
7,48974,0.09999938743381732,4776,0.09752113366275983,8099,0.023624642669622543,0.1507315542796148,68660,0.4673196163977049,2.981624446559507
8,48974,0.09999938743381732,11177,0.2282231388083473,19276,0.04919932413462177,0.3139048789023055,57483,0.58686663467723,3.7443664751590124
9,48974,0.09999938743381732,21630,0.4416629231837301,40906,0.09280619282706548,0.5921283926797578,35853,0.7320673813169984,4.670786168766279
10,48975,0.1000014293210929,35853,0.7320673813169984,76759,0.15673322538555937,1.0,0,0.0,0.0
