decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,30,0.0009168423947923352,30,0.0009168423947923352,0.03827936911930918,7807,0.026510778174705586,1.106859662199125
2,32720,0.09999847190599166,56,0.0017114914425427872,86,0.0013141608471753182,0.05486793415847901,7751,0.029610641646674103,1.2362830164603802
3,32721,0.10000152809400835,94,0.0028727728370159834,180,0.0018337034697744545,0.07655951816097364,7657,0.033430403897958025,1.3957630863125374
4,32720,0.09999847190599166,109,0.0033312958435207825,289,0.002208095842056203,0.09219088937093275,7548,0.03844684524991977,1.6052060737527114
5,32721,0.10000152809400835,158,0.0048287032792396324,447,0.0027322237367285443,0.11407391447955383,7390,0.04517059693646777,1.8859315006503685
6,32720,0.09999847190599166,191,0.005837408312958435,638,0.0032497465910769495,0.1356811705159287,7199,0.05500374383032044,2.296478244226107
7,32720,0.09999847190599166,310,0.009474327628361858,948,0.004138960806486118,0.17280702701113823,6889,0.07017990668486787,2.930102892283041
8,32721,0.10000152809400835,495,0.01512789951407353,1443,0.0055125991350987915,0.23015822381013146,6394,0.09770633089347656,4.079367104759474
9,32720,0.09999847190599166,1047,0.03199877750611247,2490,0.008455467869222097,0.35302684243317806,5347,0.16341187616515387,6.82265955603154
10,32721,0.10000152809400835,5347,0.16341187616515387,7837,0.023951345486774345,1.0,0,0.0,0.0
