decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,1024,0.06299987695336533,1024,0.06299987695336533,0.1485719218862786,67898,0.46415192365535535,1.0946044132075992
2,16254,0.1000012304814874,1891,0.11634059308477913,2915,0.08967023501907223,0.21146833608325297,66007,0.5076290086903023,1.19713594809356
3,16254,0.1000012304814874,2836,0.17448012796850007,5751,0.11794019933554817,0.2781370842343711,63171,0.5552225425397271,1.30937525926877
4,16253,0.09999507807405038,3859,0.23743308927582601,9610,0.14781204337460585,0.3485835278433836,59312,0.6081847359084523,1.4342754215647837
5,16254,0.1000012304814874,5233,0.3219515196259382,14843,0.18264036717567583,0.43071878355242155,54079,0.6654320835743026,1.5692812164475782
6,16254,0.1000012304814874,6815,0.4192814076535007,21658,0.2220809450078443,0.5237310675790748,47264,0.7269706990694456,1.7144070613933076
7,16253,0.09999507807405038,8680,0.5340552513382145,30338,0.2666467444803825,0.6288301058348917,38584,0.7912718920470858,1.8660478626497958
8,16254,0.1000012304814874,10693,0.657868832287437,41031,0.31555025763285394,0.7441587268960391,27891,0.8579734219269103,2.02334935221201
9,16254,0.1000012304814874,12788,0.7867601821090193,53819,0.36790763173005936,0.8676325505084064,15103,0.9291866617448012,2.191290758055142
10,16254,0.1000012304814874,15103,0.9291866617448012,68922,0.42403622537498925,1.0,0,0.0,0.0
