split,metric,baseline_score,uplift
DEV,auc,gcard_v2,0.018417
DEV,ks,gcard_v2,0.039318
DEV,auc,gcard_v4,0.022749
DEV,ks,gcard_v4,0.045183
DEV,auc,gcard_v5,0.021254
DEV,ks,gcard_v5,0.043687
DEV,auc,gcard_v6,0.010897
DEV,ks,gcard_v6,0.022547
DEV-OOS,auc,gcard_v2,0.006793
DEV-OOS,ks,gcard_v2,0.014968
DEV-OOS,auc,gcard_v4,0.01124
DEV-OOS,ks,gcard_v4,0.024913
DEV-OOS,auc,gcard_v5,0.009475
DEV-OOS,ks,gcard_v5,0.018196
DEV-OOS,auc,gcard_v6,-0.000838
DEV-OOS,ks,gcard_v6,-0.000898
OOT,auc,gcard_v2,0.005938
OOT,ks,gcard_v2,0.013909
OOT,auc,gcard_v4,0.011356
OOT,ks,gcard_v4,0.021731
OOT,auc,gcard_v5,0.006855
OOT,ks,gcard_v5,0.01669
OOT,auc,gcard_v6,-0.001357
OOT,ks,gcard_v6,-0.002347
OOT-OOS,auc,gcard_v2,0.008559
OOT-OOS,ks,gcard_v2,0.018515
OOT-OOS,auc,gcard_v4,0.012588
OOT-OOS,ks,gcard_v4,0.0308
OOT-OOS,auc,gcard_v5,0.009393
OOT-OOS,ks,gcard_v5,0.026193
OOT-OOS,auc,gcard_v6,0.00016
OOT-OOS,ks,gcard_v6,0.002833
