feature,split,gain,rank
d180_apl_ord_days_cnt,41,154068.93908691406,1
first_day_diff_event_result_1_all,46,63062.06723690033,2
d360_apl_ord_ddf_mdl_ord_crt_dte_min,65,22933.85318851471,3
his_360_day_csh_apl_ord_cnt_his_rto,37,20753.97377204895,4
cnt_avg_ord_span_30d,16,4133.2572820186615,5
payment_day_6m,6,3925.7957792282104,6
dau_90d,52,3232.592981815338,7
pmt_crd_amt_3m,2,2885.090087890625,8
d30_apl_ord_days_cnt,31,2582.6075897216797,9
stg_pln_max_prc_amt_12m_ftr,3,2443.6508264541626,10
ddf_lst_app_str_tim_to_mdl_tim_sec,82,2222.7883763313293,11
d180_apl_ord_days_cnt_all,10,2194.3023319244385,12
clk_cnt_14d,36,2067.7379698753357,13
first_day_diff_event_result_0_event_type_loan_all,37,1918.5746674537659,14
ord_apl_avg_prc_amt_720_day_per_mth,11,1487.773389339447,15
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,12,1450.6476106643677,16
d180_apl_ord_cnt_all,2,1437.134994506836,17
pmt_crd_amt_1m,4,1311.5073914527893,18
pmt_crd_amt_pmonth_his,5,1104.5934369564056,19
d180_suc_ord_days_cnt_all,4,1103.0993795394897,20
rsk_avl_lmt_ch_les_10000_cnt_12m,22,1000.0592656135559,21
min_rsk_lmt_rate_12m_bt_ch,17,893.3394360542297,22
d90_bsy_typ_bt_cash_suc_ord_cnt_all,23,889.2908630371094,23
d180_apl_ord_ddf_mdl_ord_crt_dte_max,23,886.0667562484741,24
m1_stg_pln_d0_rep_apl_cnt,8,675.9066009521484,25
d30_d60_apl_ord_cnt_rat,2,666.1719970703125,26
sum_avb_lmt_2m_v2,33,665.5119299888611,27
avg_avl_lmt_lft_rep_prc_3m_cash_1m,10,657.7095909118652,28
d90_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,13,636.7269973754883,29
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,25,624.1953773498535,30
af_6m_trend,13,572.312183380127,31
pst_ord_apl_suc_max_prc_amt_180_day,4,561.4579925537109,32
d60_apl_ord_prc_amt_sum,2,550.6209840774536,33
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,24,549.065493106842,34
d30_apl_ord_days_cnt_all,5,539.8247117996216,35
his_720_day_csh_apl_ord_cnt_his_rto,6,505.282910823822,36
ord_apl_fal_cnt_his,26,495.04540157318115,37
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,7,484.9893147945404,38
his_30d_app_str_ctn_v2,21,465.43575525283813,39
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,27,452.7961206436157,40
rsk_avl_lmt_ch_les_500_cnt_12m,11,448.5862007141113,41
stg_pln_cnt_3m_ftr_his_rep_rto_cash,2,418.3149871826172,42
ord_apl_suc_sum_prc_amt_360_day_bjq_12m,8,415.3369493484497,43
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,19,392.25576877593994,44
d90_apl_ord_prc_amt_per_stg_sum,8,376.1899013519287,45
ord_apl_min_prc_amt_his,14,367.9916706085205,46
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,5,366.4386978149414,47
max_avl_lmt_lft_rep_prc_1m_cash_3m,17,365.08896112442017,48
d60_apl_ord_ddf_mdl_ord_crt_dte_max,10,360.8993902206421,49
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,9,352.75860500335693,50
12m_used_lmt_second_der_sum,22,347.3816590309143,51
3m_used_lmt_first_der_median,11,298.9221019744873,52
min_rsk_avl_lmt_12m_bt_ch,9,288.0000944137573,53
max_amt_other_info_manual_repay,17,284.85548973083496,54
d60_apl_ord_stg_num_sum_all,2,280.2615966796875,55
first_amt_event_type_credit_all,24,280.1927628517151,56
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,6,278.5458011627197,57
d60_apl_ord_prc_amt_avg,5,277.298397064209,58
