decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48975,0.1000014293210929,47,0.000959673302705462,47,0.000959673302705462,0.006122972971076761,76712,0.17404167271671264,1.1104325345731576
2,48974,0.09999938743381732,122,0.00249111773594152,169,0.0017253877017631624,0.01100843613419399,76590,0.1954853826245425,1.2472491530985463
3,48974,0.09999938743381732,174,0.003552905623392004,343,0.0023345561961027207,0.014895094453392236,76416,0.22290414794936117,1.4221882271676805
4,48974,0.09999938743381732,264,0.005390615428594764,607,0.003098567104141462,0.01976968888708232,76152,0.25915615662626,1.6534857621205912
5,48975,0.1000014293210929,503,0.010270546197039305,1110,0.004532980495932569,0.028921630909984553,75649,0.30893409182794207,1.9710823347632438
6,48974,0.09999938743381732,1258,0.025687099277167478,2368,0.008058642962640295,0.051416302719581364,74391,0.37974547849124796,2.4228779670493266
7,48974,0.09999938743381732,3928,0.08020582349818271,6296,0.018365322909981916,0.11717568412698541,70463,0.47959135057138774,3.059921400785356
8,48974,0.09999938743381732,9941,0.20298525748356272,16237,0.041442696927466986,0.2644155176767345,60522,0.617892985124912,3.9423229095484538
9,48974,0.09999938743381732,21451,0.4380079225711602,37688,0.08550529984027878,0.545546737967895,39071,0.7977743746809597,5.090014403254045
10,48975,0.1000014293210929,39071,0.7977743746809597,76759,0.15673322538555937,1.0,0,0.0,0.0
