decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,26,0.0007945967421533572,26,0.0007945967421533572,0.033175453236734626,7811,0.02652436125562,1.1074267735925918
2,32720,0.09999847190599166,58,0.0017726161369193154,84,0.0012835989670084503,0.05359193568967717,7753,0.02961828211671582,1.2366020160775808
3,32721,0.10000152809400835,85,0.002597720118578283,169,0.0017216438132882379,0.07188088094002525,7668,0.03347842981448898,1.3977682311407258
4,32720,0.09999847190599166,92,0.0028117359413202935,261,0.0019941626808881283,0.0832589000893199,7576,0.03858946735736516,1.611160733273787
5,32721,0.10000152809400835,153,0.00467589621344091,414,0.002530515944084155,0.10565235032334516,7423,0.045372305962029805,1.8943531162825014
6,32720,0.09999847190599166,198,0.006051344743276284,612,0.0031173117770205224,0.13015184381778744,7225,0.05520239605140508,2.304772234273319
7,32720,0.09999847190599166,312,0.009535452322738386,924,0.004034176988600394,0.1684321655678183,6913,0.0704244004808378,2.9403108280378376
8,32721,0.10000152809400835,487,0.014883408208795575,1411,0.00539035161443132,0.22505422993492408,6426,0.09819532097614646,4.099783080260304
9,32720,0.09999847190599166,1009,0.030837408312958434,2420,0.008217763953219869,0.34310239304750634,5417,0.165551175086336,6.911978083976594
10,32721,0.10000152809400835,5417,0.165551175086336,7837,0.023951345486774345,1.0,0,0.0,0.0
