decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,969,0.059616094499815434,969,0.059616094499815434,0.1405919846755898,67953,0.4645279046238823,1.095491085020118
2,16254,0.1000012304814874,1867,0.11486403346868464,2836,0.08724006398425004,0.20573729026830376,66086,0.508236560793663,1.1985687315846956
3,16254,0.1000012304814874,2820,0.17349575489110372,5656,0.11599196095320126,0.2735425749312473,63266,0.5560575165236957,1.3113443692975892
4,16253,0.09999507807405038,3794,0.23343382760105827,9450,0.14535107282934706,0.3427798478792898,59472,0.6098253745270347,1.4381445217038848
5,16254,0.1000012304814874,5182,0.31881383044173744,14632,0.18004405123724915,0.42459592002553614,54290,0.6680283995127293,1.5754040799744637
6,16254,0.1000012304814874,6750,0.4152823920265781,21382,0.21925084339078987,0.5170568698391255,47540,0.7312158732600169,1.7244184093313693
7,16253,0.09999507807405038,8729,0.5370700793699624,30111,0.2646515961186894,0.6241249692397135,38811,0.7959271563922726,1.8770263217214707
8,16254,0.1000012304814874,10743,0.6609449981543005,40854,0.3141890333000077,0.7409485664158998,28068,0.8634182355112587,2.0361897966328453
9,16254,0.1000012304814874,12903,0.7938353636028055,53757,0.3674837986382653,0.8666330295561122,15165,0.9330011074197121,2.2002863236381005
10,16254,0.1000012304814874,15165,0.9330011074197121,68922,0.42403622537498925,1.0,0,0.0,0.0
