intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,155,0.000316,0,0.0
低意愿,2,369,0.000753,1,0.00271
低意愿,3,1846,0.003769,4,0.002167
低意愿,4,3632,0.007416,2,0.000551
低意愿,5,10114,0.020652,20,0.001977
低意愿,6,79979,0.163308,200,0.002501
低意愿,7,67153,0.137119,185,0.002755
中意愿,1,3988,0.008143,139,0.034855
中意愿,2,12798,0.026132,427,0.033365
中意愿,3,23172,0.047315,759,0.032755
中意愿,4,18905,0.038602,578,0.030574
中意愿,5,34369,0.070178,687,0.019989
中意愿,6,61199,0.124961,1283,0.020964
中意愿,7,8816,0.018001,236,0.02677
高意愿,1,7328,0.014963,2982,0.406932
高意愿,2,24230,0.049475,10559,0.435782
高意愿,3,35070,0.071609,14851,0.423467
高意愿,4,40623,0.082948,18457,0.454349
高意愿,5,9697,0.0198,3955,0.407858
高意愿,6,36678,0.074892,16597,0.452506
高意愿,7,9622,0.019647,4837,0.502702
