intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,52,0.000159,0,0.0
低意愿,2,104,0.000318,0,0.0
低意愿,3,612,0.00187,1,0.001634
低意愿,4,1701,0.005199,0,0.0
低意愿,5,4021,0.012289,6,0.001492
低意愿,6,48385,0.147874,84,0.001736
低意愿,7,54194,0.165627,109,0.002011
中意愿,1,234,0.000715,0,0.0
中意愿,2,1407,0.0043,8,0.005686
中意愿,3,4941,0.015101,23,0.004655
中意愿,4,6039,0.018456,23,0.003809
中意愿,5,17610,0.053819,77,0.004373
中意愿,6,60810,0.185847,330,0.005427
中意愿,7,18026,0.055091,136,0.007545
高意愿,1,4925,0.015052,434,0.088122
高意愿,2,11868,0.036271,836,0.070442
高意愿,3,17471,0.053395,1045,0.059813
高意愿,4,11310,0.034565,580,0.051282
高意愿,5,24853,0.075955,1323,0.053233
高意愿,6,33807,0.103321,2263,0.066939
高意愿,7,4835,0.014777,559,0.115615
