intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,1657,0.010195,204,0.123114
低意愿,2,7752,0.047693,904,0.116615
低意愿,3,14328,0.088152,1742,0.12158
低意愿,4,15827,0.097374,2008,0.126872
低意愿,5,2603,0.016015,349,0.134076
低意愿,6,10587,0.065136,1420,0.134127
低意愿,7,1425,0.008767,171,0.12
中意愿,1,2438,0.015,840,0.344545
中意愿,2,8229,0.050628,2946,0.358002
中意愿,3,11549,0.071054,4173,0.36133
中意愿,4,14023,0.086275,5324,0.379662
中意愿,5,2593,0.015953,983,0.379098
中意愿,6,12251,0.075373,4745,0.387315
中意愿,7,3097,0.019054,1184,0.382305
高意愿,1,2165,0.01332,1643,0.758891
高意愿,2,8037,0.049447,6293,0.783004
高意愿,3,11187,0.068827,8630,0.771431
高意愿,4,14260,0.087733,11102,0.778541
高意愿,5,2500,0.015381,1924,0.7696
高意愿,6,12016,0.073927,9238,0.768808
高意愿,7,4014,0.024696,3099,0.772048
