intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,155,0,0.0
低意愿,2,369,0,0.0
低意愿,3,1846,0,0.0
低意愿,4,3632,0,0.0
低意愿,5,10114,0,0.0
低意愿,6,79979,1,1.3e-05
低意愿,7,67153,0,0.0
中意愿,1,3988,0,0.0
中意愿,2,12798,8,0.000625
中意愿,3,23172,13,0.000561
中意愿,4,18905,13,0.000688
中意愿,5,34369,13,0.000378
中意愿,6,61199,13,0.000212
中意愿,7,8816,1,0.000113
高意愿,1,7328,63,0.008597
高意愿,2,24230,345,0.014239
高意愿,3,35070,478,0.01363
高意愿,4,40623,572,0.014081
高意愿,5,9697,115,0.011859
高意愿,6,36678,431,0.011751
高意愿,7,9622,86,0.008938
