intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,1657,3,0.001811
低意愿,2,7752,15,0.001935
低意愿,3,14328,31,0.002164
低意愿,4,15827,43,0.002717
低意愿,5,2603,11,0.004226
低意愿,6,10587,26,0.002456
低意愿,7,1425,1,0.000702
中意愿,1,2438,14,0.005742
中意愿,2,8229,65,0.007899
中意愿,3,11549,111,0.009611
中意愿,4,14023,101,0.007202
中意愿,5,2593,19,0.007327
中意愿,6,12251,104,0.008489
中意愿,7,3097,18,0.005812
高意愿,1,2165,41,0.018938
高意愿,2,8037,261,0.032475
高意愿,3,11187,334,0.029856
高意愿,4,14260,437,0.030645
高意愿,5,2500,81,0.0324
高意愿,6,12016,297,0.024717
高意愿,7,4014,66,0.016442
