feature,non_null_rate,unique_count,drop_reason
d180_apl_ord_days_cnt,0.4376336159985952,76,
first_day_diff_event_result_1_all,1.0,2940,
d360_apl_ord_ddf_mdl_ord_crt_dte_min,0.4376336159985952,360,
his_360_day_csh_apl_ord_cnt_his_rto,0.9982276418448043,3475,
cnt_avg_ord_span_30d,0.12862868892459922,1702,
payment_day_6m,1.0,161,
dau_90d,1.0,91,
pmt_crd_amt_3m,1.0,109071,
d30_apl_ord_days_cnt,0.4376336159985952,19,
stg_pln_max_prc_amt_12m_ftr,1.0,42925,
ddf_lst_app_str_tim_to_mdl_tim_sec,0.3149713216932146,145337,
d180_apl_ord_days_cnt_all,0.448516875177389,171,
clk_cnt_14d,1.0,715,
first_day_diff_event_result_0_event_type_loan_all,0.611920946292239,3227,
ord_apl_avg_prc_amt_720_day_per_mth,1.0,9906,
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,0.41820097479698537,2366,
d180_apl_ord_cnt_all,0.448516875177389,492,
pmt_crd_amt_1m,1.0,71973,
pmt_crd_amt_pmonth_his,1.0,100435,
d180_suc_ord_days_cnt_all,0.37834946083966486,91,
rsk_avl_lmt_ch_les_10000_cnt_12m,0.4508425847842644,127,
min_rsk_lmt_rate_12m_bt_ch,0.491416926837137,117441,
d90_bsy_typ_bt_cash_suc_ord_cnt_all,0.37834946083966486,54,
d180_apl_ord_ddf_mdl_ord_crt_dte_max,0.3372278929969392,180,
m1_stg_pln_d0_rep_apl_cnt,0.39023120289621294,202,
d30_d60_apl_ord_cnt_rat,0.4376336159985952,169,
sum_avb_lmt_2m_v2,0.3395066391964765,155177,
avg_avl_lmt_lft_rep_prc_3m_cash_1m,0.309523566441991,141343,
d90_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,0.22810535321587036,93256,
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,0.35759571857076056,7,
af_6m_trend,0.35245424641087264,95113,
pst_ord_apl_suc_max_prc_amt_180_day,1.0,581,
d60_apl_ord_prc_amt_sum,0.4376336159985952,2144,
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,0.4328290552391765,157014,
d30_apl_ord_days_cnt_all,0.448516875177389,31,
his_720_day_csh_apl_ord_cnt_his_rto,0.9982276418448043,3781,
ord_apl_fal_cnt_his,1.0,178,
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,0.2963125557690462,128918,
his_30d_app_str_ctn_v2,0.3149713216932146,297,
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,0.9962715138348073,272814,
rsk_avl_lmt_ch_les_500_cnt_12m,0.4508425847842644,86,
stg_pln_cnt_3m_ftr_his_rep_rto_cash,0.3877053883363315,2735,
ord_apl_suc_sum_prc_amt_360_day_bjq_12m,0.6880282107145993,30382,
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,0.996381775747688,251339,
d90_apl_ord_prc_amt_per_stg_sum,0.4376336159985952,3833,
ord_apl_min_prc_amt_his,1.0,18952,
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,0.2900480456075942,109273,
max_avl_lmt_lft_rep_prc_1m_cash_3m,0.33457956520052357,152085,
d60_apl_ord_ddf_mdl_ord_crt_dte_max,0.20793354882050383,60,
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,0.41820097479698537,3694,
12m_used_lmt_second_der_sum,0.9820865229314151,219416,
3m_used_lmt_first_der_median,0.9990443967550328,169919,
min_rsk_avl_lmt_12m_bt_ch,0.491416926837137,76789,
max_amt_other_info_manual_repay,0.9020710862636118,139173,
d60_apl_ord_stg_num_sum_all,0.21592549561708896,571,
first_amt_event_type_credit_all,0.7682600874336132,3576,
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,0.3723708148967928,2147,
d60_apl_ord_prc_amt_avg,0.4376336159985952,12303,
ftr_pending_repay_gurantee_fee_sum_divide_ftr_principal_sum,0.31161037523762464,132610,
ai_call_cnt_21d,0.12744643619204357,145,
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,0.7218132775761982,12502,
m1_stg_pln_d0_rep_apl_suc_cnt,0.39023120289621294,75,
m6_stg_pln_manual_deduct_rep_apl_cnt_sum,0.39023120289621294,560,
stg_pln_sum_prc_amt_6m_12m_rto_ftr,0.22625131956965183,97943,
pge_id_cnt_7d,1.0,48,
ddf_ato_fst_ord_crt_dte,0.9972761223743882,3117,
d15_suc_ord_prc_amt_avg_all,0.37834946083966486,4507,
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,0.38127956908010935,253,
rsk_lmt_rate_ch_1m_grt_0p2_cnt_3m,0.38127956908010935,143,
his_360_day_csh_suc_ord_cnt_bjq_12m,0.6880282107145993,83,
d365_aplord_suc_month_cnt,0.4512652554503076,14,
d7_d360_suc_ord_prc_amt_avg_rat_all,0.37834946083966486,7748,
d90_apl_ord_ddf_mdl_ord_crt_dte_max,0.2540863269102366,90,
d90_apl_ord_prc_amt_avg,0.4376336159985952,15023,
sum_talk_duration_180d,0.16124988003912255,2878,
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,0.48464807051861897,134604,
stg_pln_pay_off_cnt_bjq_12m,0.6880282107145993,474,
per_event_type_limit_all,1.0,75821,
d180_apl_ord_prc_amt_sum_all,0.448516875177389,11668,
credit_unique_scene_cnt_12m,0.47828963354249066,6,
ord_apl_min_prc_amt_360_day_bjq_12m,0.6880282107145993,5521,
d60_apl_ord_prc_amt_max,0.4376336159985952,835,
d90_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,0.23263630108036257,4,
m3_manual_rep_apl_suc_amt_avg,0.39248748833571895,97942,
12m_used_lmt_second_der_max,0.9820865229314151,215973,
d30_d360_apl_ord_prc_amt_avg_rat_all,0.448516875177389,32096,
rsk_lmt_rate_ch_1m_grt_0p95_rate_36m,0.7218132775761982,15150,
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,0.38797491745670687,112,
stg_pln_cnt_1m_ftr_his_rep_rto_all,0.36825028637469037,937,
18m_repay_amt_second_der_mean_diff,0.48780482824665183,145118,
lst_app_str_hr,0.3149713216932146,24,
d7_d15_apl_ord_prc_amt_avg_rat,0.4007489642526795,3447,
ord_apl_suc_sum_stg_num_180_day,1.0,174,
3m_used_lmt_second_der_sum,0.9820824391568639,176357,
af_1y_inter_3m_sum_up,0.9996385859522239,22541,
ord_apl_cnt_13_18,1.0,123,
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,0.33722585110966363,33462,
ord_apl_fal_cnt_360_day,1.0,86,
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,0.567340421404696,101,
d90_aplord_suc_month_cnt,0.2647551879250954,5,
stg_pln_max_prc_amt_6m_12m_ftr_cash,0.9972761223743882,24728,
d90_apl_ord_dis_bsy_typ_cnt_all,0.448516875177389,4,
