feature,gain,split
d180_apl_ord_days_cnt,353878.8619503975,94
first_day_diff_event_result_1_all,212851.29092133045,167
d360_apl_ord_ddf_mdl_ord_crt_dte_min,192685.31414031982,172
his_360_day_csh_apl_ord_cnt_his_rto,67175.01405286789,85
d180_apl_ord_days_cnt_all,27492.312530994415,28
dau_90d,14384.541567385197,181
d30_apl_ord_days_cnt,9571.074356079102,74
6m_used_lmt_second_der_min,8004.014382123947,41
ord_apl_avg_prc_amt_720_day_per_mth,7740.261288285255,83
ddf_lst_app_str_tim_to_mdl_tim_sec,7290.736890137196,276
pmt_crd_amt_3m,7111.664455652237,39
first_day_diff_event_result_0_event_type_loan_all,5706.6269644498825,136
cnt_avg_ord_span_30d,5524.255570888519,44
clk_cnt_14d,4746.16945643723,115
d180_apl_ord_cnt_all,3960.6303811073303,19
pst_ord_apl_suc_max_prc_amt_180_day,3846.316453933716,23
avg_avl_lmt_lft_rep_prc_3m_cash_1m,3644.158194541931,84
d180_apl_ord_ddf_mdl_ord_crt_dte_max,3442.5861151218414,101
d180_suc_ord_days_cnt_all,3376.872266769409,13
his_30d_app_str_ctn_v2,3321.451807975769,115
rsk_avl_lmt_ch_les_10000_cnt_12m,3141.9930033683777,67
payment_day_6m,3063.76335811615,25
pmt_crd_amt_1m,3039.73126578331,45
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,2659.225033521652,147
rsi_abf_1y_inter_1m,2363.7411432266235,50
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,2302.6384315490723,100
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,2283.8239493370056,28
d90_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,2182.5300855636597,48
min_rsk_lmt_rate_12m_bt_ch,2176.3416831493378,65
sum_avb_lmt_2m_v2,1960.6015994548798,113
d30_d360_apl_ord_prc_amt_avg_rat_all,1795.45734167099,19
ord_apl_fal_cnt_his,1593.8168749809265,87
min_rsk_lmt_rate_3m_bt_ch,1559.8531408309937,43
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,1556.3619067668915,46
stg_pln_sum_prc_amt_6m_12m_rto_ftr,1551.3709806203842,49
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,1497.042043209076,41
m1_stg_pln_d0_rep_apl_cnt,1492.471405506134,24
d60_apl_ord_prc_amt_sum,1473.7885527610779,19
d90_apl_ord_prc_amt_per_stg_sum,1354.4295511245728,45
d90_bsy_typ_bt_cash_suc_ord_cnt_all,1326.1919202804565,39
ddf_ato_fst_ord_crt_dte,1321.0219247937202,111
first_amt_event_type_credit_all,1235.2517490386963,95
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,1174.5315647125244,31
d7_d360_suc_ord_prc_amt_avg_rat_all,1158.1838359832764,68
d60_apl_ord_ddf_mdl_ord_crt_dte_max,1149.5277361869812,46
his_720_day_csh_apl_ord_cnt_his_rto,1139.9837369918823,23
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,1136.6890922784805,98
d90_max_due_prc_amt_divide_d90_max_faqi_prc_amt,1117.7937593460083,37
min_ddf_suc_lag_crt_tim_mnt,1105.318863749504,81
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,1100.8509941101074,34
af_6m_trend,1099.7951951026917,46
ord_apl_min_prc_amt_his,1096.9527339935303,67
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,1095.7858543395996,18
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,1068.9184448719025,53
rsk_lmt_rate_ch_1m_grt_0p9_rate_12m,1067.7747330665588,46
max_amt_other_info_manual_repay,1056.4316217154264,77
max_ddf_mdl_rep_dte_ftr,1051.4016830325127,75
ddf_fst_adt_fst_ord_crt_dte_mnt,1047.0641399621964,99
per_event_type_limit_all,1045.074414819479,93
d60_apl_ord_prc_amt_avg,1034.5888493061066,39
ftr_pending_repay_gurantee_fee_sum_divide_ftr_principal_sum,1031.145299911499,79
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,1028.6580648422241,69
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,1010.9825282096863,58
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,977.2939131259918,85
ddf_mdl_max_con_dau_dt_90d,948.1630816459656,76
12m_used_lmt_second_der_sum,926.0660095214844,73
af_q2_q1_trend,921.9651863574982,49
min_amt_event_type_credit_event_result_1,913.0909970402718,82
d360_apl_ord_ddf_mdl_ord_crt_dte_max,905.6813702583313,56
stg_pln_cnt_1m_ftr_his_rep_rto_all,889.1023578643799,39
d30_d60_apl_ord_cnt_rat,859.8545207977295,9
d365_aplord_suc_month_cnt,856.1222214698792,14
avg_day_diff_shift1_event_type_repay_all,846.3581900596619,79
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,846.0623602867126,66
12m_used_lmt_second_der_max,843.3136031627655,70
d1080_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,837.0151309967041,70
rsk_avl_lmt_ch_1m_les_500_cnt_3m,832.8390264511108,26
min_ddf_lag_crt_tim_mnt,832.7525589466095,79
max_avl_lmt_lft_rep_prc_1m_cash_3m,806.9038083553314,46
percent_true_followup_code_other_call_mode_manual_30d,799.300220489502,40
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,768.5906591415405,41
d15_suc_ord_prc_amt_avg_all,760.1433553695679,44
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,734.4853191375732,59
rsk_avl_lmt_ch_les_1000_cnt_3m,722.99973487854,18
div_amt_event_type_repay_loan,714.3340266942978,73
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,710.2991390228271,71
6m_used_lmt_first_der_small_0_sum,706.1130030155182,58
6m_used_lmt_second_der_sum,705.5386090278625,65
redu_amt_event_type_repay_loan,671.6412784680724,65
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,670.6982007026672,35
d180_d360_apl_ord_cnt_rat,668.3063569068909,44
fst_fal_ord_prc_amt,665.6977396011353,65
stg_pln_sum_rep_prc_his_d0_mrn_zd_v2,657.1345275640488,57
18m_used_lmt_first_der_sum,653.916718006134,60
rsk_avl_lmt_ch_les_500_cnt_12m,642.9052772521973,23
18m_repay_amt_second_der_mean_diff,638.2878172397614,65
stg_pln_sum_rep_prc_12m_his_d0_mrn_pk_rto,634.8031439781189,61
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,624.1581606864929,61
9m_ftr_con_dsc_repay_amt_max,623.1836924552917,17
d180_apl_ord_prc_amt_avg,621.6096467971802,38
min_ddf_rep_tim_dte_adv,616.5015020370483,44
cnt_event_type_limit_type_heavy_all,609.7396026849747,61
d30_apl_ord_ddf_mdl_ord_crt_dte_max,609.6049180030823,47
m6_stg_pln_rep_apl_cnt_his_ovd_avg,609.0885229110718,41
min_rsk_avl_lmt_12m_bt_ch,607.7179231643677,23
stg_pln_sum_prc_amt_2m_ftr_his_rep_rto_all,599.1462564468384,35
3m_used_lmt_first_der_median,592.8592219352722,47
18ord_apply_amt_first_der_min,590.8451994657516,47
12m_used_lmt_first_der_mean_diff,590.6206095218658,46
36stg_pln_repay_amt_second_der_mean_diff,589.6996893882751,55
max_ddf_lag_crt_dte,586.4990607500076,61
ord_apl_suc_sum_prc_amt_360_day_bjq_12m,583.1751861851662,30
stg_pln_min_rep_prc_his,580.1708650588989,63
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,579.9492719173431,37
stg_pln_min_prc_amt_1m_3m_ftr_rto_cash,576.1240386962891,53
credit_unique_fund_cnt_1m,574.2743158340454,27
last_amt_channel_hb_microcredit_lv1_all,573.4258503913879,59
18m_repay_amt_second_der_median,564.2605485916138,54
6m_used_lmt_first_der_median,561.0749287605286,48
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,555.7177891731262,48
d90_aplord_suc_month_cnt,553.1492004394531,11
rsk_lmt_rate_ch_1m_grt_0p95_rate_36m,551.6164480745792,56
n_unique_other_info_event_type_credit,542.3157801628113,30
6m_repay_amt_second_der_mean_diff,542.1178026199341,52
6m_repay_amt_first_der_max,541.7491564750671,27
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,540.1461524963379,39
d90_apl_ord_ddf_mdl_ord_crt_dte_max,538.5281763076782,36
pge_id_cnt_7d,535.3455159664154,20
12m_used_lmt_first_der_sum,534.4952735900879,44
12m_repay_amt_first_der_sum,534.1218183040619,48
lst_app_str_hr,533.6410505771637,48
12m_used_lmt_second_der_mean_diff,533.0668017864227,48
6ord_apply_amt_second_der_mean_rto,532.768238067627,50
rsk_avl_lmt_ch_1m_les_500_cnt_12m,527.6191854476929,22
rsk_avl_lmt_ch_1m_les_500_rate_3m,527.1033864021301,31
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,525.7595539093018,20
min_amt_channel_hb,524.3828892707825,58
12m_used_lmt_second_der_small_0_sum,523.669113278389,51
max_ddf_rep_tim_dte_adv,523.5955014228821,44
stg_pln_sum_rep_prc_12m_his_d0_mrn_zd_rto,518.8097212314606,51
3m_used_lmt_first_der_small_0_sum,517.4040174484253,47
3m_used_lmt_first_der_mean_diff,516.667781829834,46
d720_repaid_tot_fee_stddev,516.4928784370422,49
3stg_pln_repay_amt_second_der_mean_rto,515.5970914363861,55
18m_used_lmt_second_der_sum,515.3754200935364,50
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,515.1470820903778,38
6stg_pln_repay_amt_first_der_mean_rto,514.1764649748802,53
stg_pln_sum_rep_prc_his_d0_mrn_pk,512.3438305705786,51
avg_avl_lmt_lft_rep_prc_all_cash_24m,511.32957792282104,37
stg_pln_avg_prc_amt_adv_3d,510.67371821403503,56
