model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v2,1,20984,7,0.0003335874952344644
1,gcard_v2,2,10854,1,9.213193292795283e-05
1,gcard_v2,3,6979,8,0.0011462960309499928
1,gcard_v2,4,5072,10,0.001971608832807571
1,gcard_v2,5,3492,23,0.006586483390607102
1,gcard_v2,6,1384,7,0.0050578034682080926
1,gcard_v2,7,192,2,0.010416666666666666
1,gcard_v2,8,1,0,0.0
2,gcard_v2,1,13241,7,0.000528660977267578
2,gcard_v2,2,11165,12,0.0010747872816838334
2,gcard_v2,3,9188,20,0.0021767522855899
2,gcard_v2,4,7009,17,0.0024254529890141248
2,gcard_v2,5,4901,19,0.0038767598449296063
2,gcard_v2,6,2842,27,0.009500351864883884
2,gcard_v2,7,609,12,0.019704433497536946
2,gcard_v2,8,3,0,0.0
3,gcard_v2,1,8390,12,0.0014302741358760429
3,gcard_v2,2,10876,14,0.0012872379551305626
3,gcard_v2,3,10351,16,0.0015457443725243939
3,gcard_v2,4,8353,23,0.0027535017359032682
3,gcard_v2,5,6114,30,0.004906771344455349
3,gcard_v2,6,3955,57,0.01441213653603034
3,gcard_v2,7,907,15,0.016538037486218304
3,gcard_v2,8,12,0,0.0
4,gcard_v2,1,4282,9,0.0021018215787015414
4,gcard_v2,2,9562,29,0.0030328383183434427
4,gcard_v2,3,10797,24,0.0022228396776882466
4,gcard_v2,4,10034,45,0.0044847518437313135
4,gcard_v2,5,7707,68,0.008823147787725444
4,gcard_v2,6,5124,93,0.018149882903981264
4,gcard_v2,7,1409,36,0.0255500354861604
4,gcard_v2,8,41,0,0.0
4,gcard_v2,9,1,0,0.0
5,gcard_v2,1,1891,8,0.004230565838180857
5,gcard_v2,2,5510,24,0.004355716878402904
5,gcard_v2,3,8917,52,0.005831557698777616
5,gcard_v2,4,11147,84,0.0075356598187853235
5,gcard_v2,5,10788,122,0.011308861698183166
5,gcard_v2,6,7766,137,0.017640999227401494
5,gcard_v2,7,2756,68,0.02467343976777939
5,gcard_v2,8,182,2,0.01098901098901099
5,gcard_v2,9,1,0,0.0
6,gcard_v2,1,168,4,0.023809523809523808
6,gcard_v2,2,983,17,0.017293997965412006
6,gcard_v2,3,2679,47,0.017543859649122806
6,gcard_v2,4,6965,132,0.018951902368987795
6,gcard_v2,5,13497,287,0.021263984589167964
6,gcard_v2,6,15250,476,0.03121311475409836
6,gcard_v2,7,7915,287,0.03626026531901453
6,gcard_v2,8,1456,57,0.03914835164835165
6,gcard_v2,9,45,1,0.022222222222222223
7,gcard_v2,1,2,0,0.0
7,gcard_v2,2,8,0,0.0
7,gcard_v2,3,42,2,0.047619047619047616
7,gcard_v2,4,366,19,0.05191256830601093
7,gcard_v2,5,2343,134,0.057191634656423386
7,gcard_v2,6,11728,805,0.06863915416098226
7,gcard_v2,7,23434,1981,0.08453529060339678
7,gcard_v2,8,9984,1013,0.10146233974358974
7,gcard_v2,9,1016,123,0.12106299212598425
7,gcard_v2,10,34,5,0.14705882352941177
8,gcard_v2,3,4,0,0.0
8,gcard_v2,4,11,0,0.0
8,gcard_v2,5,111,17,0.15315315315315314
8,gcard_v2,6,837,149,0.17801672640382318
8,gcard_v2,7,11071,2082,0.18805889260229428
8,gcard_v2,8,27175,5662,0.20835326586936523
8,gcard_v2,9,9302,2114,0.22726295420339712
8,gcard_v2,10,447,117,0.26174496644295303
9,gcard_v2,3,1,0,0.0
9,gcard_v2,5,5,0,0.0
9,gcard_v2,6,66,25,0.3787878787878788
9,gcard_v2,7,634,216,0.34069400630914826
9,gcard_v2,8,9672,3875,0.40064102564102566
9,gcard_v2,9,29557,13060,0.44185810467909464
9,gcard_v2,10,9023,4269,0.47312423805829545
10,gcard_v2,6,6,4,0.6666666666666666
10,gcard_v2,7,31,21,0.6774193548387096
10,gcard_v2,8,431,295,0.6844547563805105
10,gcard_v2,9,9036,6369,0.7048472775564409
10,gcard_v2,10,39454,31873,0.8078521822882344
