decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48975,0.1000014293210929,58,0.0011842776927003574,58,0.0011842776927003574,0.007556009198350045,76701,0.1740167162770437,1.1102733057969516
2,48974,0.09999938743381732,114,0.00232776575325683,172,0.0017560158858181299,0.01120385216024477,76587,0.19547772553944165,1.2472002988426474
3,48975,0.1000014293210929,167,0.003409903011740684,339,0.0023073153467098634,0.014721290530670393,76420,0.22291646612352292,1.4222668204214812
4,48973,0.09999734554654176,306,0.00624834092254916,645,0.003292546593362839,0.021007330036520756,76114,0.25902683718682573,1.6526606694249222
5,48975,0.1000014293210929,496,0.010127616130678918,1141,0.004659577248521677,0.029729352133596735,75618,0.3088074945583593,1.9702746102410735
6,48974,0.09999938743381732,1312,0.026789725160289133,2453,0.008347910129795879,0.053261904801998765,74306,0.37931157700220014,2.420109559215056
7,48974,0.09999938743381732,4090,0.08351370114754768,6543,0.019085817630243276,0.12177263361544878,70216,0.47791019785874234,3.0491951957416594
8,48974,0.09999938743381732,10157,0.20739576101604934,16700,0.04262444039469721,0.27195535783712915,60059,0.613166035385762,3.912163702861283
9,48974,0.09999938743381732,21482,0.43864091150406337,38182,0.08662607085813852,0.5526975575538677,38577,0.787687595712098,5.025658049047408
10,48975,0.1000014293210929,38577,0.787687595712098,76759,0.15673322538555937,1.0,0,0.0,0.0
