decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,1692,0.10409745293466224,1692,0.10409745293466224,0.24549188655428064,67230,0.459585463892155,1.0838353810119132
2,16254,0.1000012304814874,2330,0.14334932939584102,4022,0.12372339116525163,0.29177552237627563,64900,0.4991155887102976,1.177058842717773
3,16254,0.1000012304814874,3123,0.1921373200442968,7145,0.14652803412493334,0.34555546285073585,61777,0.5429703979749684,1.2804811605300979
4,16253,0.09999507807405038,4194,0.258044668676552,11339,0.1744059063293086,0.4112995444553722,57583,0.5904555848363976,1.3924649581866224
5,16254,0.1000012304814874,5253,0.32318198597268366,16592,0.20416148839040715,0.4814718087112968,52330,0.6439109623595713,1.5185281912887032
6,16254,0.1000012304814874,6788,0.41762027808539437,23380,0.23973831814033614,0.5653722578261506,45542,0.7004845035760978,1.6519449557797479
7,16253,0.09999507807405038,8465,0.5208269242601365,31845,0.2798920686260723,0.6600664091341595,37077,0.7603666789713301,1.793164436125505
8,16254,0.1000012304814874,10252,0.6307370493417005,42097,0.3237483657617473,0.7634922357764268,26825,0.8251814937861449,1.946016506152062
9,16254,0.1000012304814874,12339,0.7591362126245847,54436,0.37212545459517105,0.8775793961143018,14486,0.8912267749477052,2.1017703715279605
10,16254,0.1000012304814874,14486,0.8912267749477052,68922,0.42403622537498925,1.0,0,0.0,0.0
