intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,148,0.000302,0,0.0
低意愿,2,334,0.000682,1,0.002994
低意愿,3,1782,0.003639,4,0.002245
低意愿,4,3564,0.007277,3,0.000842
低意愿,5,10049,0.020519,16,0.001592
低意愿,6,80142,0.163641,213,0.002658
低意愿,7,67229,0.137274,190,0.002826
中意愿,1,4003,0.008174,149,0.037222
中意愿,2,12971,0.026485,480,0.037006
中意愿,3,23314,0.047605,794,0.034057
中意愿,4,18821,0.03843,590,0.031348
中意愿,5,34510,0.070466,716,0.020748
中意愿,6,60890,0.124331,1272,0.02089
中意愿,7,8738,0.017842,235,0.026894
高意愿,1,7320,0.014947,2972,0.406011
高意愿,2,24092,0.049193,10506,0.436078
高意愿,3,34992,0.07145,14816,0.423411
高意愿,4,40775,0.083258,18444,0.452336
高意愿,5,9621,0.019645,3930,0.408481
高意愿,6,36824,0.07519,16595,0.450657
高意愿,7,9624,0.019651,4833,0.502182
